subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
04blkmpfl2,22951,265829,6683fb83d24c87e385c4c519,1,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
04blkmpfl2,50192,366687,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The candidate did not have skill A,,ans,d4
04blkmpfl2,10016,428346,6683fb83d24c87e385c4c519,0,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
04blkmpfl2,40075,493448,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
04blkmpfl2,5477,519223,6683fb83d24c87e385c4c519,0,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
04blkmpfl2,47323,604578,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
04blkmpfl2,6850,648347,6683fb83d24c87e385c4c519,0,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
04blkmpfl2,49413,729113,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The lecturer talked about the paper,,ans,c5
04blkmpfl2,5670,774798,6683fb83d24c87e385c4c519,1,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
04blkmpfl2,32448,833102,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The main dish impressed the panel,,ans,d5
04blkmpfl2,6955,870703,6683fb83d24c87e385c4c519,1,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
04blkmpfl2,27049,932525,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The dessert impressed the panel,,ans,d3
04blkmpfl2,9113,956650,6683fb83d24c87e385c4c519,0,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
04blkmpfl2,78225,1058101,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The chef did not complete the main dish,,ans,c1
04blkmpfl2,4808,1084093,6683fb83d24c87e385c4c519,0,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
04blkmpfl2,24445,1121756,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
04blkmpfl2,1709,1127223,6683fb83d24c87e385c4c519,0,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
04blkmpfl2,32276,1168965,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The chef did not complete the dessert,,ans,d1
04blkmpfl2,2791,1174387,6683fb83d24c87e385c4c519,1,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
04blkmpfl2,20397,1197325,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The chef did not complete the dessert,,ans,d6
04blkmpfl2,859,1200746,6683fb83d24c87e385c4c519,0,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,10%,50%,80%,50%,group,1,0,0,0,,,stim,c3
04blkmpfl2,72962,1276129,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The postdoc did not attend,,ans,c3
04blkmpfl2,913,1280234,6683fb83d24c87e385c4c519,1,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
04blkmpfl2,27137,1308695,6683fb83d24c87e385c4c519,,668582e30cf76773d7ac09c4,66858f0b1cb70639f547d754,,,,,,,,,,The chef did not complete the main dish,,ans,d2
