subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
1nc1mtxtfj,14607.39999999851,240484,6654c29ce8e16acd9c322da9,0,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
1nc1mtxtfj,16378.39999999851,277532,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The lecturer talked about the paper,,ans,d5
1nc1mtxtfj,9223.60000000149,305048,6654c29ce8e16acd9c322da9,1,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
1nc1mtxtfj,26061,335560,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
1nc1mtxtfj,13160.39999999851,357263,6654c29ce8e16acd9c322da9,0,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
1nc1mtxtfj,8966.30000000447,382128,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
1nc1mtxtfj,13184,424876,6654c29ce8e16acd9c322da9,1,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
1nc1mtxtfj,15545.60000000149,449147,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The chef did not complete the main dish,,ans,d1
1nc1mtxtfj,9313.40000000596,467670,6654c29ce8e16acd9c322da9,1,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
1nc1mtxtfj,14276.10000000149,484605,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The main dish did not impress the panel,,ans,d4
1nc1mtxtfj,9371.5,508218,6654c29ce8e16acd9c322da9,0,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
1nc1mtxtfj,21079.09999999404,531969,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The postdoc talked about the paper,,ans,d3
1nc1mtxtfj,13349,555599,6654c29ce8e16acd9c322da9,0,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
1nc1mtxtfj,24696.60000000149,589017,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The main dish did not impress the panel,,ans,c3
1nc1mtxtfj,12962.5,607860,6654c29ce8e16acd9c322da9,1,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
1nc1mtxtfj,25351.70000000298,641366,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The main dish did not impress the panel,,ans,c1
1nc1mtxtfj,17297.59999999404,674421,6654c29ce8e16acd9c322da9,0,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
1nc1mtxtfj,22761.89999999851,704468,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The postdoc talked about the paper,,ans,c5
1nc1mtxtfj,3457.3000000044703,713042,6654c29ce8e16acd9c322da9,1,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
1nc1mtxtfj,19989.19999999553,737774,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The chef did not complete the main dish,,ans,c2
1nc1mtxtfj,6274.5,748126,6654c29ce8e16acd9c322da9,0,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
1nc1mtxtfj,16022.89999999851,768693,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The main dish did not impress the panel,,ans,c4
1nc1mtxtfj,5101.39999999851,777846,6654c29ce8e16acd9c322da9,0,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
1nc1mtxtfj,36604.60000000149,819556,6654c29ce8e16acd9c322da9,,668582e30cf76773d7ac09c4,6685929e3d9c025d49be4dbe,,,,,,,,,,The lecturer talked about the paper,,ans,d7
