subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
1rvc938bgx,10054,180098,6641fc772541dfaf9ed5bf70,1,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
1rvc938bgx,21885.800000000047,217030,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
1rvc938bgx,13220.300000000047,238198,6641fc772541dfaf9ed5bf70,0,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
1rvc938bgx,7358.5,254818,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d4
1rvc938bgx,6631.200000000186,269746,6641fc772541dfaf9ed5bf70,1,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
1rvc938bgx,6604.600000000093,297443,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
1rvc938bgx,18193.899999999907,322295,6641fc772541dfaf9ed5bf70,1,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
1rvc938bgx,6424.399999999907,337477,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
1rvc938bgx,11672.899999999907,388852,6641fc772541dfaf9ed5bf70,0,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
1rvc938bgx,6476.5,399168,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The lecturer talked about the paper,,ans,d7
1rvc938bgx,10494.19999999972,422853,6641fc772541dfaf9ed5bf70,0,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
1rvc938bgx,17170.599999999627,447380,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The chef did not complete the main dish,,ans,d1
1rvc938bgx,3052.0999999996275,462794,6641fc772541dfaf9ed5bf70,1,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
1rvc938bgx,8476.5,476007,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The chef did not complete the main dish,,ans,c1
1rvc938bgx,49400.299999999814,529242,6641fc772541dfaf9ed5bf70,1,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
1rvc938bgx,3689.399999999907,538292,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
1rvc938bgx,3543.399999999907,548842,6641fc772541dfaf9ed5bf70,1,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
1rvc938bgx,3761.5,558664,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The lecturer did not attend,,ans,d2
1rvc938bgx,1972.6000000000931,563960,6641fc772541dfaf9ed5bf70,0,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,10%,50%,80%,50%,job,0,1,0,0,,,stim,c2
1rvc938bgx,7050.4000000003725,575896,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The candidate did not have skill A,,ans,c2
1rvc938bgx,5265.300000000279,584413,6641fc772541dfaf9ed5bf70,1,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,50%,80%,50%,10%,job,1,0,1,1,,,stim,d5
1rvc938bgx,9811.5,596024,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
1rvc938bgx,10329.700000000186,609485,6641fc772541dfaf9ed5bf70,0,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
1rvc938bgx,4076.7000000001863,617148,6641fc772541dfaf9ed5bf70,,668582e30cf76773d7ac09c4,668599dd3b7b1a1214b83143,,,,,,,,,,The candidate did not have skill B,,ans,c3
