subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
25wwusqaw5,20919.09999999404,175122,5ea31e2cfe333e274552c8d6,0,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
25wwusqaw5,35710.70000000298,226634,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The candidate did not have skill B,,ans,d1
25wwusqaw5,6998.70000000298,247746,5ea31e2cfe333e274552c8d6,0,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,10%,50%,80%,50%,group,1,0,0,0,,,stim,c3
25wwusqaw5,9711,274930,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
25wwusqaw5,10574.40000000596,292041,5ea31e2cfe333e274552c8d6,1,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
25wwusqaw5,6454.29999999702,307538,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The candidate had skill A,,ans,d5
25wwusqaw5,7134.4000000059605,320657,5ea31e2cfe333e274552c8d6,0,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
25wwusqaw5,5783.600000008941,334778,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The candidate did not have skill B,,ans,c1
25wwusqaw5,7102.79999999702,350145,5ea31e2cfe333e274552c8d6,1,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
25wwusqaw5,13391.79999999702,370154,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
25wwusqaw5,7302.4000000059605,391785,5ea31e2cfe333e274552c8d6,0,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
25wwusqaw5,8575.20000000298,410713,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The chef completed the dessert,,ans,d7
25wwusqaw5,8894.70000000298,424753,5ea31e2cfe333e274552c8d6,1,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
25wwusqaw5,7327,442457,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
25wwusqaw5,5382.79999999702,455857,5ea31e2cfe333e274552c8d6,1,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,50%,80%,50%,10%,cook,1,1,0,1,,,stim,d6
25wwusqaw5,22855,486361,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The main dish did not impress the panel,,ans,d6
25wwusqaw5,5846.29999999702,497128,5ea31e2cfe333e274552c8d6,1,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
25wwusqaw5,8958.79999999702,515529,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
25wwusqaw5,7750.800000011921,527544,5ea31e2cfe333e274552c8d6,0,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
25wwusqaw5,11990.699999988079,550184,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The chef did not complete the dessert,,ans,d4
25wwusqaw5,1791.2999999970198,555688,5ea31e2cfe333e274552c8d6,1,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
25wwusqaw5,5455.20000000298,568672,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The postdoc talked about the paper,,ans,d3
25wwusqaw5,5638.79999999702,577840,5ea31e2cfe333e274552c8d6,1,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
25wwusqaw5,4279.0999999940395,588816,5ea31e2cfe333e274552c8d6,,668582e30cf76773d7ac09c4,66858d8a7c866961de0e45ad,,,,,,,,,,The lecturer attended,,ans,c5
