subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
26n2v9lxvr,42411.60000000009,427517,5fd663588215d7567e027d5b,1,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
26n2v9lxvr,24220.19999999972,484534,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The chef completed the main dish,,ans,d5
26n2v9lxvr,34875.60000000056,532532,5fd663588215d7567e027d5b,1,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
26n2v9lxvr,21364.5,573070,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
26n2v9lxvr,43980.200000000186,629420,5fd663588215d7567e027d5b,1,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
26n2v9lxvr,16656,671174,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
26n2v9lxvr,7123.800000000745,687916,5fd663588215d7567e027d5b,0,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
26n2v9lxvr,12348.700000000186,709806,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
26n2v9lxvr,23187.200000000186,740349,5fd663588215d7567e027d5b,1,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
26n2v9lxvr,26292.599999999627,775542,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The lecturer did not attend,,ans,c1
26n2v9lxvr,20756,804364,5fd663588215d7567e027d5b,0,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
26n2v9lxvr,28883.60000000056,844406,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The chef did not complete the dessert,,ans,d4
26n2v9lxvr,11108,865349,5fd663588215d7567e027d5b,0,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
26n2v9lxvr,23380.200000000186,901366,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
26n2v9lxvr,10444.300000000745,921181,5fd663588215d7567e027d5b,1,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
26n2v9lxvr,12435.5,953166,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The main dish did not impress the panel,,ans,d6
26n2v9lxvr,18147.900000000373,977565,5fd663588215d7567e027d5b,0,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
26n2v9lxvr,9468.200000000186,1001776,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
26n2v9lxvr,10500.400000000373,1018100,5fd663588215d7567e027d5b,1,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
26n2v9lxvr,6813.0999999996275,1035455,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The lecturer talked about the paper,,ans,d7
26n2v9lxvr,11516,1052388,5fd663588215d7567e027d5b,1,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
26n2v9lxvr,6308,1064518,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The postdoc talked about the paper,,ans,d3
26n2v9lxvr,23627.299999999814,1094236,5fd663588215d7567e027d5b,0,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
26n2v9lxvr,16276,1125661,5fd663588215d7567e027d5b,,668582e30cf76773d7ac09c4,668590f8af6e86ecd7ae8626,,,,,,,,,,The chef did not complete the dessert,,ans,d1
