subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
27kggoq9fn,61821.09999990463,492698,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,10%,50%,80%,50%,job,0,1,1,1,,,stim,d3
27kggoq9fn,34604.699999809265,569764,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
27kggoq9fn,36161.09999990463,641932,5ac22f45436f550001ffbad2,1,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
27kggoq9fn,34148,733820,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The dessert did not impress the panel,,ans,c4
27kggoq9fn,29651,777378,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
27kggoq9fn,86507.10000014305,902086,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The candidate did not have skill A,,ans,d1
27kggoq9fn,33655.199999809265,963536,5ac22f45436f550001ffbad2,1,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
27kggoq9fn,12580.5,994996,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The chef did not complete the dessert,,ans,c3
27kggoq9fn,33866,1050566,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
27kggoq9fn,40189.09999990463,1116751,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The main dish did not impress the panel,,ans,d6
27kggoq9fn,22497.299999952316,1150310,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
27kggoq9fn,16527.200000047684,1182031,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The chef did not complete the main dish,,ans,c2
27kggoq9fn,24533.599999904633,1225487,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
27kggoq9fn,13085.100000143051,1262536,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
27kggoq9fn,24005.599999904633,1298449,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
27kggoq9fn,10069.599999904633,1322465,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The chef did not complete the main dish,,ans,d2
27kggoq9fn,17404.300000190735,1363554,5ac22f45436f550001ffbad2,1,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,80%,50%,10%,50%,group,1,1,1,0,,,stim,c5
27kggoq9fn,31405,1441109,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The postdoc attended,,ans,c5
27kggoq9fn,21197,1470099,5ac22f45436f550001ffbad2,1,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
27kggoq9fn,12639.599999904633,1497947,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The candidate did not have skill A,,ans,c1
27kggoq9fn,12423.799999952316,1521865,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
27kggoq9fn,8475.400000095367,1550467,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The postdoc did not attend,,ans,d5
27kggoq9fn,3597.0999999046326,1562921,5ac22f45436f550001ffbad2,0,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
27kggoq9fn,6976.799999952316,1579605,5ac22f45436f550001ffbad2,,668582e30cf76773d7ac09c4,66858e51fe184ba09e7015b1,,,,,,,,,,The chef did not complete the dessert,,ans,d4
