subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
39esuh175d,81981.39999997616,896283,663f81b69964b86cf2dbb1e4,1,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
39esuh175d,160297.90000000596,1145475,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The chef completed the main dish,,ans,c1
39esuh175d,34932.69999998808,1208659,663f81b69964b86cf2dbb1e4,0,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
39esuh175d,40555.69999998808,1270539,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The dessert impressed the panel,,ans,c5
39esuh175d,1878.9000000059605,1280647,663f81b69964b86cf2dbb1e4,1,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
39esuh175d,8198.699999988079,1294626,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The lecturer talked about the paper,,ans,c3
39esuh175d,10571.59999999404,1315931,663f81b69964b86cf2dbb1e4,0,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
39esuh175d,10776.40000000596,1335636,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The dessert impressed the panel,,ans,c2
39esuh175d,30243.69999998808,1381836,663f81b69964b86cf2dbb1e4,1,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
39esuh175d,31827.30000001192,1443708,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The candidate demonstrated skill A,,ans,d4
39esuh175d,7449.799999982119,1484251,663f81b69964b86cf2dbb1e4,0,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
39esuh175d,18177,1517570,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The postdoc talked about the paper,,ans,d7
39esuh175d,1655.2999999821186,1527793,663f81b69964b86cf2dbb1e4,0,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
39esuh175d,16741.399999976158,1549817,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The chef did not complete the main dish,,ans,d6
39esuh175d,1406,1556298,663f81b69964b86cf2dbb1e4,0,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
39esuh175d,6888.200000017881,1565782,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The main dish did not impress the panel,,ans,d1
39esuh175d,9268.09999999404,1616075,663f81b69964b86cf2dbb1e4,1,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
39esuh175d,26352.59999999404,1648897,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
39esuh175d,1890,1657336,663f81b69964b86cf2dbb1e4,0,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
39esuh175d,5438.199999988079,1665939,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The lecturer did not talk about the paper,,ans,d2
39esuh175d,13803.59999999404,1697558,663f81b69964b86cf2dbb1e4,0,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
39esuh175d,8251.199999988079,1708766,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The main dish impressed the panel,,ans,d3
39esuh175d,31228.59999999404,1745194,663f81b69964b86cf2dbb1e4,1,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
39esuh175d,13817.399999976158,1769736,663f81b69964b86cf2dbb1e4,,668582e30cf76773d7ac09c4,668592de571a8e68970e4797,,,,,,,,,,The lecturer talked about the paper,,ans,d5
