subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
3fptwaqomn,35238.90000009537,120253,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
3fptwaqomn,51863.5,209870,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
3fptwaqomn,13382.700000047684,233613,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
3fptwaqomn,35127.09999990463,294254,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The postdoc talked about the paper,,ans,d3
3fptwaqomn,8070.799999952316,309958,5d498490ab6774001538905b,0,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
3fptwaqomn,56791,393438,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
3fptwaqomn,1951.0999999046326,403742,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,80%,50%,10%,70%,group,1,0,0,1,,,stim,d4
3fptwaqomn,45039.09999990463,452734,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
3fptwaqomn,3727,460238,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
3fptwaqomn,48847.5,521206,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The dessert did not impress the panel,,ans,d2
3fptwaqomn,1479.4000000953674,526646,5d498490ab6774001538905b,0,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
3fptwaqomn,40575.40000009537,576486,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The candidate did not have skill A,,ans,c1
3fptwaqomn,1031.3999998569489,580134,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
3fptwaqomn,25559,608670,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
3fptwaqomn,1023.2999999523163,612381,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
3fptwaqomn,32863.5,647110,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The chef did not complete the dessert,,ans,c3
3fptwaqomn,895.2000000476837,650956,5d498490ab6774001538905b,0,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
3fptwaqomn,27079.300000190735,680140,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The chef did not complete the main dish,,ans,c2
3fptwaqomn,855.2000000476837,683164,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
3fptwaqomn,20807.5,706004,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The candidate had skill A,,ans,d7
3fptwaqomn,751.1000001430511,709702,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
3fptwaqomn,17759.699999809265,728654,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The lecturer talked about the paper,,ans,d5
3fptwaqomn,983.2000000476837,732158,5d498490ab6774001538905b,1,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
3fptwaqomn,22263.199999809265,755614,5d498490ab6774001538905b,,668582e30cf76773d7ac09c4,66858a849f73fd89c9fbbaaf,,,,,,,,,,The candidate did not have skill A,,ans,d1
