subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
3kd166nsn4,22820.39999985695,334108,6613d878b18a1d1ad59884c7,1,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
3kd166nsn4,27673.099999904633,398596,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The chef did not complete the main dish,,ans,c2
3kd166nsn4,26021.5,441039,6613d878b18a1d1ad59884c7,0,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
3kd166nsn4,30922.39999985695,485914,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The chef completed the main dish,,ans,d7
3kd166nsn4,12012.700000047684,505875,6613d878b18a1d1ad59884c7,1,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
3kd166nsn4,23576.400000095367,537522,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The main dish impressed the panel,,ans,c5
3kd166nsn4,17602.199999809265,565407,6613d878b18a1d1ad59884c7,0,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
3kd166nsn4,28426.799999952316,612242,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The candidate had skill B,,ans,c4
3kd166nsn4,6800.5,624994,6613d878b18a1d1ad59884c7,1,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
3kd166nsn4,25324.299999952316,666929,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The chef did not complete the main dish,,ans,d1
3kd166nsn4,16486.299999952316,689260,6613d878b18a1d1ad59884c7,0,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
3kd166nsn4,6773.5,706112,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The main dish impressed the panel,,ans,d5
3kd166nsn4,10381.700000047684,723001,6613d878b18a1d1ad59884c7,0,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
3kd166nsn4,7030.400000095367,737805,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
3kd166nsn4,6978.5,749635,6613d878b18a1d1ad59884c7,1,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
3kd166nsn4,5682.399999856949,774052,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The main dish did not impress the panel,,ans,d4
3kd166nsn4,9888.200000047684,788181,6613d878b18a1d1ad59884c7,1,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
3kd166nsn4,4902.799999952316,801516,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The main dish did not impress the panel,,ans,c1
3kd166nsn4,15110.399999856949,829805,6613d878b18a1d1ad59884c7,1,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
3kd166nsn4,6164.599999904633,864714,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The postdoc did not attend,,ans,c3
3kd166nsn4,4689.600000143051,874243,6613d878b18a1d1ad59884c7,1,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
3kd166nsn4,6318.600000143051,892561,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The main dish did not impress the panel,,ans,d6
3kd166nsn4,9528.100000143051,911457,6613d878b18a1d1ad59884c7,0,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
3kd166nsn4,7858.900000095367,932924,6613d878b18a1d1ad59884c7,,668582e30cf76773d7ac09c4,6685908999bfb347fece5747,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
