subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
3kql48xtgn,28220.5,208072,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
3kql48xtgn,24696.80000000447,254890,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
3kql48xtgn,42158.39999999851,309707,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
3kql48xtgn,14922,337793,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
3kql48xtgn,6606.4000000059605,352491,62ececf09d04c75b0ac68b0b,0,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
3kql48xtgn,28403.5,386970,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The postdoc talked about the paper,,ans,d7
3kql48xtgn,25769.70000000298,438565,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
3kql48xtgn,21288.80000000447,463487,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The candidate did not have skill A,,ans,d1
3kql48xtgn,10705.89999999851,490366,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
3kql48xtgn,5626,514556,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The chef did not complete the main dish,,ans,c2
3kql48xtgn,4712.39999999851,565555,62ececf09d04c75b0ac68b0b,0,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
3kql48xtgn,5454.19999999553,576903,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The postdoc did not attend,,ans,c3
3kql48xtgn,2904.6999999955297,611817,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
3kql48xtgn,11168.69999999553,636559,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The dessert impressed the panel,,ans,d3
3kql48xtgn,9393.79999999702,651930,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
3kql48xtgn,7454.39999999851,663953,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
3kql48xtgn,6367.80000000447,676841,62ececf09d04c75b0ac68b0b,0,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,10%,50%,80%,50%,cook,1,0,1,1,,,stim,d5
3kql48xtgn,5753.69999999553,686325,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The main dish impressed the panel,,ans,d5
3kql48xtgn,4240.39999999851,693930,62ececf09d04c75b0ac68b0b,0,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
3kql48xtgn,10012.39999999851,709205,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The chef did not complete the main dish,,ans,c1
3kql48xtgn,8341.19999999553,722714,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
3kql48xtgn,7673,742670,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
3kql48xtgn,5656.60000000149,751402,62ececf09d04c75b0ac68b0b,1,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
3kql48xtgn,4429.20000000298,760045,62ececf09d04c75b0ac68b0b,,668582e30cf76773d7ac09c4,668592f5d2e34e2aeed95d99,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
