subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
3z7veewhuc,10470.300000011921,193872,60a4c0ed6ab7573b1a6b16e4,0,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
3z7veewhuc,41364.40000000596,249225,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The lecturer attended,,ans,c5
3z7veewhuc,6427.0999999940395,273113,60a4c0ed6ab7573b1a6b16e4,1,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
3z7veewhuc,44933.90000000596,323929,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The lecturer talked about the paper,,ans,d7
3z7veewhuc,11386.10000000894,385623,60a4c0ed6ab7573b1a6b16e4,0,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
3z7veewhuc,19469.80000001192,409872,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
3z7veewhuc,10827.79999999702,426295,60a4c0ed6ab7573b1a6b16e4,1,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
3z7veewhuc,47318.40000000596,486310,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The candidate did not have skill B,,ans,c1
3z7veewhuc,9907.20000000298,500025,60a4c0ed6ab7573b1a6b16e4,0,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
3z7veewhuc,17292.69999998808,523371,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d4
3z7veewhuc,2045.8999999910593,532123,60a4c0ed6ab7573b1a6b16e4,1,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
3z7veewhuc,29067,563409,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The lecturer talked about the paper,,ans,d5
3z7veewhuc,8286.20000000298,593665,60a4c0ed6ab7573b1a6b16e4,0,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
3z7veewhuc,6760,616068,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The main dish did not impress the panel,,ans,c3
3z7veewhuc,19063.29999999702,638548,60a4c0ed6ab7573b1a6b16e4,1,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
3z7veewhuc,13396.5,686419,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The lecturer did not attend,,ans,d2
3z7veewhuc,6860.20000000298,698678,60a4c0ed6ab7573b1a6b16e4,0,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
3z7veewhuc,12497.29999999702,714548,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
3z7veewhuc,14482.39999999106,733092,60a4c0ed6ab7573b1a6b16e4,1,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
3z7veewhuc,39235.20000000298,774779,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The candidate did not have skill A,,ans,d1
3z7veewhuc,3012.5,780419,60a4c0ed6ab7573b1a6b16e4,1,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
3z7veewhuc,27166.70000000298,812212,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The candidate demonstrated skill A,,ans,d3
3z7veewhuc,3342.9000000059605,818038,60a4c0ed6ab7573b1a6b16e4,0,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
3z7veewhuc,9870.20000000298,831283,60a4c0ed6ab7573b1a6b16e4,,668582e30cf76773d7ac09c4,66859153ee37054c9d394686,,,,,,,,,,The lecturer did not attend,,ans,c2
