subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
4aoecew5vb,14077.79999999702,172012,62e292c364cc7a8e601bda3b,1,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
4aoecew5vb,29865.5,219189,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The candidate had skill A,,ans,c3
4aoecew5vb,12914.70000000298,296385,62e292c364cc7a8e601bda3b,0,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
4aoecew5vb,33138.60000000894,343784,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The main dish did not impress the panel,,ans,c4
4aoecew5vb,5334.0999999940395,355300,62e292c364cc7a8e601bda3b,1,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
4aoecew5vb,4245.0999999940395,373779,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
4aoecew5vb,10009.300000011921,389620,62e292c364cc7a8e601bda3b,1,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
4aoecew5vb,4368.70000000298,408194,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The main dish impressed the panel,,ans,d5
4aoecew5vb,13464.60000000894,430675,62e292c364cc7a8e601bda3b,1,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
4aoecew5vb,8991.40000000596,449524,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The main dish impressed the panel,,ans,c5
4aoecew5vb,10542.09999999404,470013,62e292c364cc7a8e601bda3b,0,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
4aoecew5vb,14356.40000000596,491316,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The chef did not complete the dessert,,ans,d1
4aoecew5vb,11929.199999988079,521862,62e292c364cc7a8e601bda3b,0,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
4aoecew5vb,10831.29999999702,548397,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
4aoecew5vb,2801.4000000059605,556698,62e292c364cc7a8e601bda3b,0,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
4aoecew5vb,10465.20000000298,572361,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
4aoecew5vb,12984.60000000894,590566,62e292c364cc7a8e601bda3b,0,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
4aoecew5vb,8464.09999999404,607524,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The postdoc did not attend,,ans,c1
4aoecew5vb,5338.29999999702,617373,62e292c364cc7a8e601bda3b,1,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
4aoecew5vb,4086.5,633439,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
4aoecew5vb,2340.2999999970198,638736,62e292c364cc7a8e601bda3b,0,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
4aoecew5vb,5957.20000000298,654566,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The chef did not complete the main dish,,ans,c2
4aoecew5vb,12853.29999999702,675047,62e292c364cc7a8e601bda3b,1,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
4aoecew5vb,15086.20000000298,693848,62e292c364cc7a8e601bda3b,,668582e30cf76773d7ac09c4,66858eae1221c427226e4a16,,,,,,,,,,The lecturer talked about the paper,,ans,d7
