subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
4knd1cj628,31431.700000047684,336513,6658d4eb6a1df274ee6349a6,0,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
4knd1cj628,61594.09999990463,434702,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The dessert did not impress the panel,,ans,d6
4knd1cj628,5267.799999952316,467374,6658d4eb6a1df274ee6349a6,0,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
4knd1cj628,36727.39999985695,538228,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The chef did not complete the main dish,,ans,d3
4knd1cj628,12463.799999952316,559518,6658d4eb6a1df274ee6349a6,0,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
4knd1cj628,34834.799999952316,615724,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
4knd1cj628,7055.099999904633,629865,6658d4eb6a1df274ee6349a6,1,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,50%,80%,50%,10%,group,0,1,0,0,,,stim,c2
4knd1cj628,58865.200000047684,705377,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
4knd1cj628,10595.599999904633,724264,6658d4eb6a1df274ee6349a6,1,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
4knd1cj628,56202.200000047684,792113,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The candidate did not have skill A,,ans,d2
4knd1cj628,2444.4000000953674,805323,6658d4eb6a1df274ee6349a6,0,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
4knd1cj628,43996.5,856153,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The candidate did not have skill A,,ans,d1
4knd1cj628,10671.899999856949,873910,6658d4eb6a1df274ee6349a6,1,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
4knd1cj628,53174.300000190735,936434,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
4knd1cj628,13018,966726,6658d4eb6a1df274ee6349a6,0,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,10%,70%,80%,50%,group,1,0,0,1,,,stim,d4
4knd1cj628,51860.10000014305,1032482,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
4knd1cj628,5543.100000143051,1049830,6658d4eb6a1df274ee6349a6,0,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
4knd1cj628,31411.800000190735,1098581,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The main dish impressed the panel,,ans,c5
4knd1cj628,10583.599999904633,1115605,6658d4eb6a1df274ee6349a6,1,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
4knd1cj628,51562.200000047684,1186765,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The postdoc did not attend,,ans,c1
4knd1cj628,9399.899999856949,1202075,6658d4eb6a1df274ee6349a6,0,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
4knd1cj628,45506.700000047684,1270580,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
4knd1cj628,4762.700000047684,1284124,6658d4eb6a1df274ee6349a6,1,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
4knd1cj628,10090.099999904633,1307922,6658d4eb6a1df274ee6349a6,,668582e30cf76773d7ac09c4,6685948bbefb5deee99d1f5b,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
