subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
4z4kdkpjc2,18181,174009,5c609e77044f100001a4bcc7,1,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
4z4kdkpjc2,45699.200000047684,242771,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The main dish did not impress the panel,,ans,d6
4z4kdkpjc2,6699.199999928474,256489,5c609e77044f100001a4bcc7,0,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
4z4kdkpjc2,19003.200000047684,284139,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The candidate did not have skill B,,ans,d1
4z4kdkpjc2,4647.300000071526,295169,5c609e77044f100001a4bcc7,0,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
4z4kdkpjc2,7535.299999952316,310824,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The postdoc did not attend,,ans,c3
4z4kdkpjc2,2601.100000023842,317855,5c609e77044f100001a4bcc7,1,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
4z4kdkpjc2,22135.299999952316,402157,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
4z4kdkpjc2,1635.2000000476837,407091,5c609e77044f100001a4bcc7,0,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
4z4kdkpjc2,15183.399999976158,425031,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
4z4kdkpjc2,1007.1000000238419,429112,5c609e77044f100001a4bcc7,0,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
4z4kdkpjc2,21543.300000071526,452695,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The main dish did not impress the panel,,ans,d4
4z4kdkpjc2,1037.3999999761581,456537,5c609e77044f100001a4bcc7,1,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
4z4kdkpjc2,15687.300000071526,473943,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
4z4kdkpjc2,1093,478080,5c609e77044f100001a4bcc7,1,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
4z4kdkpjc2,36641.200000047684,516744,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The postdoc attended,,ans,c5
4z4kdkpjc2,865.0999999046326,520422,5c609e77044f100001a4bcc7,0,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
4z4kdkpjc2,14833.300000071526,537613,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The lecturer talked about the paper,,ans,d5
4z4kdkpjc2,1021.2999999523163,541182,5c609e77044f100001a4bcc7,1,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
4z4kdkpjc2,11665.5,554771,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The postdoc talked about the paper,,ans,d3
4z4kdkpjc2,1053.3999999761581,558418,5c609e77044f100001a4bcc7,0,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
4z4kdkpjc2,12711.399999976158,572571,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The chef did not complete the dessert,,ans,c1
4z4kdkpjc2,955.1999999284744,575889,5c609e77044f100001a4bcc7,0,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
4z4kdkpjc2,18333.5,595561,5c609e77044f100001a4bcc7,,668582e30cf76773d7ac09c4,6685944d3275598f1a517008,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
