subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
5o180d5c0d,39046.09999999963,243865,60eaeaa416ee31f32d13393c,1,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
5o180d5c0d,48530,315230,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
5o180d5c0d,13735.900000000373,343301,60eaeaa416ee31f32d13393c,0,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
5o180d5c0d,24879.700000001118,377808,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The main dish impressed the panel,,ans,d5
5o180d5c0d,12030.89999999851,398244,60eaeaa416ee31f32d13393c,0,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
5o180d5c0d,18487.199999999255,426407,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The dessert impressed the panel,,ans,d3
5o180d5c0d,10315.599999999627,443808,60eaeaa416ee31f32d13393c,0,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
5o180d5c0d,35416.29999999888,491164,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The postdoc did not attend,,ans,d1
5o180d5c0d,14473.799999998882,510032,60eaeaa416ee31f32d13393c,0,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
5o180d5c0d,21127.299999998882,550921,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The main dish did not impress the panel,,ans,d4
5o180d5c0d,10094.599999999627,566256,60eaeaa416ee31f32d13393c,1,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
5o180d5c0d,5053.200000001118,580033,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The candidate did not have skill B,,ans,c3
5o180d5c0d,5198.9000000003725,590440,60eaeaa416ee31f32d13393c,1,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
5o180d5c0d,4495.299999998882,604801,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
5o180d5c0d,2022.300000000745,618928,60eaeaa416ee31f32d13393c,1,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
5o180d5c0d,17711.099999999627,647113,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The main dish impressed the panel,,ans,d7
5o180d5c0d,9917.900000000373,665696,60eaeaa416ee31f32d13393c,1,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
5o180d5c0d,6486.39999999851,680761,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The postdoc did not attend,,ans,c1
5o180d5c0d,4862.89999999851,691616,60eaeaa416ee31f32d13393c,0,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
5o180d5c0d,5807.5,703529,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The lecturer did not attend,,ans,c2
5o180d5c0d,12454.800000000745,720296,60eaeaa416ee31f32d13393c,1,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
5o180d5c0d,14871.300000000745,742833,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The main dish impressed the panel,,ans,c5
5o180d5c0d,9118.800000000745,756736,60eaeaa416ee31f32d13393c,0,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
5o180d5c0d,3581.800000000745,771825,60eaeaa416ee31f32d13393c,,668582e30cf76773d7ac09c4,66858cd0109ce67b4ad8a407,,,,,,,,,,The dessert did not impress the panel,,ans,d6
