subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
5raxjqdz23,18142.20000000001,315116,6658b20aa5b7d3d99e5c019e,1,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
5raxjqdz23,46811.899999999965,381418,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The chef completed the dessert,,ans,c5
5raxjqdz23,15701.100000000093,414612,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
5raxjqdz23,17085.800000000047,441937,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The lecturer talked about the paper,,ans,d7
5raxjqdz23,16101.29999999993,469627,6658b20aa5b7d3d99e5c019e,1,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
5raxjqdz23,35177.49999999994,522463,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The main dish did not impress the panel,,ans,c4
5raxjqdz23,16467.800000000047,546369,6658b20aa5b7d3d99e5c019e,1,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
5raxjqdz23,40382.59999999998,608922,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The candidate did not have skill A,,ans,c2
5raxjqdz23,7048.800000000047,623759,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
5raxjqdz23,13536,650851,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
5raxjqdz23,2265,657852,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
5raxjqdz23,5882.599999999977,682344,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The candidate did not have skill B,,ans,c3
5raxjqdz23,21370.800000000047,748130,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
5raxjqdz23,11251.800000000047,780023,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The chef did not complete the dessert,,ans,d1
5raxjqdz23,4148.79999999993,789743,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
5raxjqdz23,9202.899999999907,818453,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The main dish impressed the panel,,ans,d5
5raxjqdz23,3882.6999999999534,827738,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
5raxjqdz23,34742.10000000009,875938,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The candidate did not have skill A,,ans,d2
5raxjqdz23,2709.100000000093,882265,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
5raxjqdz23,21938.199999999953,921451,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The main dish did not impress the panel,,ans,d4
5raxjqdz23,2164.9000000001397,926850,6658b20aa5b7d3d99e5c019e,1,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
5raxjqdz23,6083.600000000093,939840,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The dessert impressed the panel,,ans,d3
5raxjqdz23,7365.799999999814,950558,6658b20aa5b7d3d99e5c019e,0,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
5raxjqdz23,35342.39999999991,996723,6658b20aa5b7d3d99e5c019e,,668582e30cf76773d7ac09c4,668591b21b152354d8048b8e,,,,,,,,,,The chef did not complete the dessert,,ans,c1
