subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
5u6jyl49kf,30618,252625,66579100f05894369fe16c64,1,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
5u6jyl49kf,49203,317463,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The candidate had skill A,,ans,d5
5u6jyl49kf,3135,330285,66579100f05894369fe16c64,0,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,10%,50%,80%,50%,job,1,0,0,1,,,stim,d4
5u6jyl49kf,10008,344304,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The candidate had skill A,,ans,d4
5u6jyl49kf,2657,353748,66579100f05894369fe16c64,0,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
5u6jyl49kf,18351,376541,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The candidate did not have skill A,,ans,c2
5u6jyl49kf,2010,385709,66579100f05894369fe16c64,0,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
5u6jyl49kf,25210,415026,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The lecturer did not attend,,ans,d2
5u6jyl49kf,1472,423406,66579100f05894369fe16c64,0,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
5u6jyl49kf,23812,450978,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The chef completed the main dish,,ans,d1
5u6jyl49kf,1865,458171,66579100f05894369fe16c64,1,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
5u6jyl49kf,8176,469317,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The candidate had skill B,,ans,d3
5u6jyl49kf,1435,475146,66579100f05894369fe16c64,1,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
5u6jyl49kf,13241,491274,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The candidate had skill A,,ans,c4
5u6jyl49kf,1938,498014,66579100f05894369fe16c64,1,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
5u6jyl49kf,18160,519813,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The chef completed the main dish,,ans,d6
5u6jyl49kf,1527,530274,66579100f05894369fe16c64,0,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
5u6jyl49kf,12532,549308,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The lecturer did not attend,,ans,c1
5u6jyl49kf,1446,555387,66579100f05894369fe16c64,0,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
5u6jyl49kf,17166,574806,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
5u6jyl49kf,2524,581496,66579100f05894369fe16c64,1,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
5u6jyl49kf,8510,593265,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The postdoc talked about the paper,,ans,c5
5u6jyl49kf,1505,599441,66579100f05894369fe16c64,0,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
5u6jyl49kf,8606,610634,66579100f05894369fe16c64,,668582e30cf76773d7ac09c4,668587cbca2ec9f9dc88cdab,,,,,,,,,,The candidate did not have skill B,,ans,c3
