subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
61f603leha,61089.70000000298,291147,667c1a4edb904744db21877a,1,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
61f603leha,25839.5,364907,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
61f603leha,13261.20000000298,382673,667c1a4edb904744db21877a,1,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
61f603leha,15199,416913,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
61f603leha,8934.79999999702,441614,667c1a4edb904744db21877a,1,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,80%,50%,10%,70%,group,0,0,0,1,,,stim,d1
61f603leha,13016.10000000894,472606,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The lecturer did not attend,,ans,d1
61f603leha,6599.20000000298,482693,667c1a4edb904744db21877a,0,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,10%,70%,80%,50%,job,1,1,1,1,,,stim,d7
61f603leha,31669.20000000298,536397,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
61f603leha,8974.09999999404,550626,667c1a4edb904744db21877a,0,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
61f603leha,19234,605384,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The postdoc did not attend,,ans,c1
61f603leha,11609.70000000298,620388,667c1a4edb904744db21877a,0,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
61f603leha,4408,634244,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The candidate did not have skill B,,ans,c3
61f603leha,11092.90000000596,649454,667c1a4edb904744db21877a,1,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
61f603leha,12514.20000000298,691453,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
61f603leha,6441.20000000298,702523,667c1a4edb904744db21877a,1,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
61f603leha,3480.5,714828,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The lecturer did not attend,,ans,c2
61f603leha,5797.9000000059605,724080,667c1a4edb904744db21877a,0,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
61f603leha,7171.20000000298,743364,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The postdoc talked about the paper,,ans,d3
61f603leha,6574.20000000298,753433,667c1a4edb904744db21877a,1,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
61f603leha,3417,768102,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
61f603leha,3348.300000011921,775516,667c1a4edb904744db21877a,0,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
61f603leha,17914.29999999702,796325,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
61f603leha,6806.29999999702,806340,667c1a4edb904744db21877a,1,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
61f603leha,4164.20000000298,819935,667c1a4edb904744db21877a,,668582e30cf76773d7ac09c4,668595c079c5674915be4ec3,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
