subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6aje9f09bg,10255,100855,63d7a7a1d17deb01f7afddd2,1,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
6aje9f09bg,9835,125326,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
6aje9f09bg,7499,137688,63d7a7a1d17deb01f7afddd2,1,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
6aje9f09bg,14394,164162,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
6aje9f09bg,4892,174675,63d7a7a1d17deb01f7afddd2,1,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
6aje9f09bg,9179,189487,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The lecturer talked about the paper,,ans,d5
6aje9f09bg,7392,204848,63d7a7a1d17deb01f7afddd2,1,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
6aje9f09bg,10084,221357,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The dessert impressed the panel,,ans,c5
6aje9f09bg,3891,230047,63d7a7a1d17deb01f7afddd2,0,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
6aje9f09bg,4957,246965,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The candidate did not have skill B,,ans,c3
6aje9f09bg,5491,259304,63d7a7a1d17deb01f7afddd2,0,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
6aje9f09bg,8933,274515,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The chef did not complete the main dish,,ans,c1
6aje9f09bg,11661,294833,63d7a7a1d17deb01f7afddd2,1,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
6aje9f09bg,5485,304013,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
6aje9f09bg,3298,311445,63d7a7a1d17deb01f7afddd2,0,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,10%,50%,80%,50%,group,0,0,0,1,,,stim,d1
6aje9f09bg,10106,325582,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The postdoc did not attend,,ans,d1
6aje9f09bg,5832,336164,63d7a7a1d17deb01f7afddd2,0,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
6aje9f09bg,7560,348331,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
6aje9f09bg,2889,354841,63d7a7a1d17deb01f7afddd2,1,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
6aje9f09bg,3380,366970,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The chef did not complete the dessert,,ans,d4
6aje9f09bg,6546,377857,63d7a7a1d17deb01f7afddd2,0,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
6aje9f09bg,5813,392928,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The dessert impressed the panel,,ans,d3
6aje9f09bg,1167,397662,63d7a7a1d17deb01f7afddd2,1,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,80%,50%,10%,50%,group,0,1,0,0,,,stim,c2
6aje9f09bg,3672,410534,63d7a7a1d17deb01f7afddd2,,668582e30cf76773d7ac09c4,66859132f2aa2a8ca051fb36,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
