subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6kbegwlrfr,9789,111216,6679925e8054d81e97d6d6f9,0,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
6kbegwlrfr,26730.599999964237,148062,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The lecturer attended,,ans,d1
6kbegwlrfr,11148.899999976158,174170,6679925e8054d81e97d6d6f9,1,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
6kbegwlrfr,13804.699999988079,200422,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The dessert did not impress the panel,,ans,d2
6kbegwlrfr,10970.900000035763,217635,6679925e8054d81e97d6d6f9,1,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
6kbegwlrfr,18373.100000023842,240597,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
6kbegwlrfr,1330,245278,6679925e8054d81e97d6d6f9,0,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
6kbegwlrfr,18923.900000035763,265964,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The postdoc talked about the paper,,ans,d7
6kbegwlrfr,1876.1000000238419,274537,6679925e8054d81e97d6d6f9,0,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
6kbegwlrfr,14657.5,291250,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The main dish impressed the panel,,ans,c5
6kbegwlrfr,1284.0999999642372,295464,6679925e8054d81e97d6d6f9,1,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
6kbegwlrfr,11102,307892,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
6kbegwlrfr,1179.3999999761581,311393,6679925e8054d81e97d6d6f9,0,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
6kbegwlrfr,8503,321471,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
6kbegwlrfr,1883,327469,6679925e8054d81e97d6d6f9,0,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
6kbegwlrfr,7040.700000047684,336308,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
6kbegwlrfr,744.5,339346,6679925e8054d81e97d6d6f9,1,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
6kbegwlrfr,9733.399999976158,350642,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The main dish did not impress the panel,,ans,d4
6kbegwlrfr,1145.1000000238419,355137,6679925e8054d81e97d6d6f9,0,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
6kbegwlrfr,12084.399999976158,368959,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The main dish did not impress the panel,,ans,c4
6kbegwlrfr,760.3999999761581,372147,6679925e8054d81e97d6d6f9,1,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
6kbegwlrfr,12034,385558,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The candidate did not have skill A,,ans,c1
6kbegwlrfr,777.3999999761581,389447,6679925e8054d81e97d6d6f9,1,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
6kbegwlrfr,8372.199999988079,399342,6679925e8054d81e97d6d6f9,,668582e30cf76773d7ac09c4,668590f4f21ee5ba3685df26,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
