subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6msgjmtgzn,21022.10000000149,191603,6658b2707a2770523b8582f6,0,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
6msgjmtgzn,33324,264625,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The dessert impressed the panel,,ans,d3
6msgjmtgzn,12438.5,287628,6658b2707a2770523b8582f6,1,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
6msgjmtgzn,30023.39999999851,328200,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The candidate did not have skill A,,ans,d1
6msgjmtgzn,4214,341743,6658b2707a2770523b8582f6,1,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,50%,80%,50%,10%,cook,1,1,1,1,,,stim,d7
6msgjmtgzn,14177.89999999851,368916,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The main dish impressed the panel,,ans,d7
6msgjmtgzn,1959,374679,6658b2707a2770523b8582f6,0,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
6msgjmtgzn,6445.900000002235,389159,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The candidate did not have skill B,,ans,c3
6msgjmtgzn,2286.5,395415,6658b2707a2770523b8582f6,1,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
6msgjmtgzn,14151.300000000745,416311,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The chef completed the main dish,,ans,c5
6msgjmtgzn,3237.699999999255,425055,6658b2707a2770523b8582f6,1,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
6msgjmtgzn,3431,433079,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The candidate had skill A,,ans,d5
6msgjmtgzn,4246.89999999851,441591,6658b2707a2770523b8582f6,0,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
6msgjmtgzn,22636.39999999851,471960,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
6msgjmtgzn,8270.39999999851,484223,6658b2707a2770523b8582f6,1,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
6msgjmtgzn,4533.800000000745,494078,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The chef did not complete the main dish,,ans,c2
6msgjmtgzn,2927.400000002235,499759,6658b2707a2770523b8582f6,0,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,10%,50%,80%,50%,job,0,0,0,0,,,stim,c1
6msgjmtgzn,7878.5,511335,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The candidate did not have skill A,,ans,c1
6msgjmtgzn,11390.699999999255,526630,6658b2707a2770523b8582f6,1,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
6msgjmtgzn,6950.800000000745,543287,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
6msgjmtgzn,3083.2999999970198,549651,6658b2707a2770523b8582f6,0,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
6msgjmtgzn,4134.5,563711,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The dessert did not impress the panel,,ans,d2
6msgjmtgzn,1119.5,567912,6658b2707a2770523b8582f6,0,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
6msgjmtgzn,11830.300000000745,587943,6658b2707a2770523b8582f6,,668582e30cf76773d7ac09c4,66858e70b1a10b34673dc1e3,,,,,,,,,,The main dish did not impress the panel,,ans,d6
