subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6oajkq3gv3,17365.200000000186,848520,637ffd0ae752c8e33f91798b,1,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
6oajkq3gv3,57141,931208,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The chef completed the main dish,,ans,d5
6oajkq3gv3,20810.5,1101477,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
6oajkq3gv3,16129.399999999907,1136949,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The postdoc attended,,ans,d3
6oajkq3gv3,3094.1999999997206,1195607,637ffd0ae752c8e33f91798b,1,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
6oajkq3gv3,79019.79999999981,1285771,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The postdoc talked about the paper,,ans,c5
6oajkq3gv3,1836.2999999998137,1291390,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
6oajkq3gv3,19352,1323611,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The chef did not complete the main dish,,ans,d1
6oajkq3gv3,17235.200000000186,1517858,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
6oajkq3gv3,12728.600000000093,1545097,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
6oajkq3gv3,999.5,1548510,637ffd0ae752c8e33f91798b,1,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
6oajkq3gv3,25253.5,1576938,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The postdoc did not attend,,ans,c1
6oajkq3gv3,1132.2000000001863,1581001,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
6oajkq3gv3,137935,1721054,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The dessert did not impress the panel,,ans,c2
6oajkq3gv3,1001.5,1726069,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,10%,50%,80%,50%,group,1,0,0,0,,,stim,c3
6oajkq3gv3,33054.69999999972,1761618,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
6oajkq3gv3,1189.2000000001863,1765836,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
6oajkq3gv3,26547.099999999627,1795305,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The dessert did not impress the panel,,ans,c4
6oajkq3gv3,1049.5,1798459,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
6oajkq3gv3,20624.099999999627,1822355,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
6oajkq3gv3,899.6999999997206,1825362,637ffd0ae752c8e33f91798b,1,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
6oajkq3gv3,9789.399999999907,1836993,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
6oajkq3gv3,1010.7999999998137,1840716,637ffd0ae752c8e33f91798b,0,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
6oajkq3gv3,17418.599999999627,1859605,637ffd0ae752c8e33f91798b,,668582e30cf76773d7ac09c4,668590a20b0f1e245328fd4f,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
