subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6xy9wb78gz,36809,241728,62a357313478901b14ca7bb3,0,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
6xy9wb78gz,62049,329610,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The candidate did not have skill B,,ans,d1
6xy9wb78gz,14516,352127,62a357313478901b14ca7bb3,1,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
6xy9wb78gz,23724,383770,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
6xy9wb78gz,15680,407191,62a357313478901b14ca7bb3,0,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
6xy9wb78gz,11514,424700,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The postdoc did not attend,,ans,c1
6xy9wb78gz,14717,441937,62a357313478901b14ca7bb3,1,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
6xy9wb78gz,10727,456785,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
6xy9wb78gz,12328,479106,62a357313478901b14ca7bb3,1,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
6xy9wb78gz,11705,496531,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The chef did not complete the dessert,,ans,c3
6xy9wb78gz,918,499592,62a357313478901b14ca7bb3,0,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
6xy9wb78gz,27297,532560,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The chef completed the main dish,,ans,d7
6xy9wb78gz,920,536226,62a357313478901b14ca7bb3,0,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
6xy9wb78gz,14907,554588,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The candidate did not have skill A,,ans,d2
6xy9wb78gz,835,557363,62a357313478901b14ca7bb3,1,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
6xy9wb78gz,9451,568710,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The candidate did not have skill B,,ans,d4
6xy9wb78gz,996,571670,62a357313478901b14ca7bb3,1,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
6xy9wb78gz,10633,584841,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The chef did not complete the main dish,,ans,c2
6xy9wb78gz,719,587962,62a357313478901b14ca7bb3,1,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
6xy9wb78gz,36868,627517,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The main dish impressed the panel,,ans,d5
6xy9wb78gz,933,630369,62a357313478901b14ca7bb3,1,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
6xy9wb78gz,11811,644590,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The postdoc talked about the paper,,ans,d3
6xy9wb78gz,724,647740,62a357313478901b14ca7bb3,0,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
6xy9wb78gz,21407,670582,62a357313478901b14ca7bb3,,668582e30cf76773d7ac09c4,6685906c13c938e83b4f19d9,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
