subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
70goc5xu3n,17536,299787,6658bf5b9633cb00b886da4a,0,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
70goc5xu3n,39333.00000000006,350731,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
70goc5xu3n,10587,386637,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
70goc5xu3n,25615,425640,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The chef completed the main dish,,ans,d7
70goc5xu3n,24479.999999999884,463099,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
70goc5xu3n,8673,482652,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The chef completed the dessert,,ans,c2
70goc5xu3n,15881.999999999884,508265,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
70goc5xu3n,4880,524044,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate demonstrated skill A,,ans,d4
70goc5xu3n,10237,549642,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
70goc5xu3n,7263.999999999884,577974,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The postdoc did not attend,,ans,c3
70goc5xu3n,9461,595097,6658bf5b9633cb00b886da4a,0,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
70goc5xu3n,12934.000000000116,627239,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
70goc5xu3n,4708,638458,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
70goc5xu3n,8575.000000000116,655995,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate did not have skill A,,ans,d1
70goc5xu3n,2790,663757,6658bf5b9633cb00b886da4a,0,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
70goc5xu3n,4944,676249,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
70goc5xu3n,1290.9999999998836,682872,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
70goc5xu3n,11825,706050,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The lecturer did not attend,,ans,c1
70goc5xu3n,4171.000000000116,713807,6658bf5b9633cb00b886da4a,0,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
70goc5xu3n,3353.0000000001164,735568,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
70goc5xu3n,1259,739780,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
70goc5xu3n,13373,762548,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
70goc5xu3n,1083,767054,6658bf5b9633cb00b886da4a,1,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
70goc5xu3n,3644,778091,6658bf5b9633cb00b886da4a,,668582e30cf76773d7ac09c4,66858f775974c9c52e69e546,,,,,,,,,,The candidate did not have skill A,,ans,d2
