subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
71njgb09h3,22766.69999998808,263346,64135c8f96a690f5b4c16dba,0,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
71njgb09h3,25175,323522,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The dessert impressed the panel,,ans,d7
71njgb09h3,216527,553202,64135c8f96a690f5b4c16dba,1,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
71njgb09h3,40887.29999998212,611642,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
71njgb09h3,25615.100000023842,649913,64135c8f96a690f5b4c16dba,1,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
71njgb09h3,44299.40000000596,708974,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The dessert did not impress the panel,,ans,c5
71njgb09h3,12351,732294,64135c8f96a690f5b4c16dba,0,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
71njgb09h3,27291.30000001192,768466,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The main dish did not impress the panel,,ans,c4
71njgb09h3,16847,823374,64135c8f96a690f5b4c16dba,0,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
71njgb09h3,29867.40000000596,866578,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The candidate did not have skill B,,ans,c3
71njgb09h3,12911.09999999404,906653,64135c8f96a690f5b4c16dba,1,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
71njgb09h3,44954.89999997616,956301,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The postdoc did not attend,,ans,c1
71njgb09h3,1863.0999999940395,964873,64135c8f96a690f5b4c16dba,1,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
71njgb09h3,10871.40000000596,985994,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The dessert impressed the panel,,ans,d3
71njgb09h3,32031.29999998212,1031729,64135c8f96a690f5b4c16dba,0,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
71njgb09h3,16235.199999988079,1067190,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d2
71njgb09h3,13466.800000011921,1103489,64135c8f96a690f5b4c16dba,1,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
71njgb09h3,38055.40000000596,1144358,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The postdoc did not attend,,ans,d1
71njgb09h3,23914.59999999404,1175693,64135c8f96a690f5b4c16dba,1,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
71njgb09h3,7491.4000000059605,1190682,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c2
71njgb09h3,3607.0999999940395,1200229,64135c8f96a690f5b4c16dba,0,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
71njgb09h3,13095.300000011921,1225158,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The main dish did not impress the panel,,ans,d4
71njgb09h3,1427,1231397,64135c8f96a690f5b4c16dba,1,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
71njgb09h3,8151.4000000059605,1256138,64135c8f96a690f5b4c16dba,,668582e30cf76773d7ac09c4,66858fab4c258370041e4474,,,,,,,,,,The main dish impressed the panel,,ans,d5
