subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
77mpurb0ct,24920,263144,648028bc524faa07ef0547eb,0,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
77mpurb0ct,24726.299999952316,330428,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
77mpurb0ct,19951.10000014305,365440,648028bc524faa07ef0547eb,1,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
77mpurb0ct,10116.400000095367,401693,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The lecturer did not attend,,ans,c2
77mpurb0ct,13802.399999856949,427627,648028bc524faa07ef0547eb,1,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,80%,50%,10%,50%,group,1,1,1,0,,,stim,c5
77mpurb0ct,44384.699999809265,491723,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The postdoc talked about the paper,,ans,c5
77mpurb0ct,8967,508116,648028bc524faa07ef0547eb,1,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
77mpurb0ct,7280.700000047684,525849,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The postdoc did not attend,,ans,c3
77mpurb0ct,18232.299999952316,554387,648028bc524faa07ef0547eb,1,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
77mpurb0ct,9189.399999856949,580428,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
77mpurb0ct,18587.700000047684,620855,648028bc524faa07ef0547eb,1,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
77mpurb0ct,15957.799999952316,661049,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The chef did not complete the main dish,,ans,d1
77mpurb0ct,16494.700000047684,682986,648028bc524faa07ef0547eb,0,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
77mpurb0ct,25608.699999809265,729147,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The postdoc talked about the paper,,ans,d7
77mpurb0ct,14723.300000190735,750696,648028bc524faa07ef0547eb,0,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
77mpurb0ct,6611,772381,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
77mpurb0ct,13788,791904,648028bc524faa07ef0547eb,0,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
77mpurb0ct,20313.200000047684,830439,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The postdoc did not attend,,ans,c1
77mpurb0ct,13930,852917,648028bc524faa07ef0547eb,1,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
77mpurb0ct,7192,875121,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The main dish did not impress the panel,,ans,d4
77mpurb0ct,10109.099999904633,890579,648028bc524faa07ef0547eb,1,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
77mpurb0ct,5622.5,903415,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The postdoc talked about the paper,,ans,d3
77mpurb0ct,13175.700000047684,923823,648028bc524faa07ef0547eb,0,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
77mpurb0ct,7516.700000047684,938075,648028bc524faa07ef0547eb,,668582e30cf76773d7ac09c4,66858ffe66a635e5c288456d,,,,,,,,,,The dessert did not impress the panel,,ans,d2
