subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
7xl20setwa,26333,256074,63d7ee907428a7db59b6b6f4,0,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
7xl20setwa,25015.19999998808,312540,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d2
7xl20setwa,12148.399999976158,339923,63d7ee907428a7db59b6b6f4,1,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
7xl20setwa,21011.5,383839,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The postdoc attended,,ans,c5
7xl20setwa,8698.300000011921,400839,63d7ee907428a7db59b6b6f4,0,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
7xl20setwa,7330.699999988079,435705,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The lecturer did not attend,,ans,c2
7xl20setwa,11198.100000023842,460339,63d7ee907428a7db59b6b6f4,0,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
7xl20setwa,20829.30000001192,505988,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The main dish did not impress the panel,,ans,d4
7xl20setwa,13398.399999976158,525772,63d7ee907428a7db59b6b6f4,1,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
7xl20setwa,14864.400000035763,553456,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The candidate did not have skill A,,ans,d1
7xl20setwa,7727.399999976158,564588,63d7ee907428a7db59b6b6f4,0,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
7xl20setwa,38295.299999952316,611105,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The postdoc did not attend,,ans,c1
7xl20setwa,7582.100000023842,621605,63d7ee907428a7db59b6b6f4,0,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,10%,50%,80%,50%,group,1,0,0,0,,,stim,c3
7xl20setwa,2965.600000023842,640756,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The postdoc did not attend,,ans,c3
7xl20setwa,5319.100000023842,649425,63d7ee907428a7db59b6b6f4,1,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
7xl20setwa,5681.600000023842,669422,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
7xl20setwa,9316.5,684573,63d7ee907428a7db59b6b6f4,0,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
7xl20setwa,5163.799999952316,699622,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
7xl20setwa,8437.299999952316,728145,63d7ee907428a7db59b6b6f4,1,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,50%,80%,50%,10%,cook,1,1,1,1,,,stim,d7
7xl20setwa,16244.199999988079,773288,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The dessert impressed the panel,,ans,d7
7xl20setwa,4181.399999976158,780555,63d7ee907428a7db59b6b6f4,1,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
7xl20setwa,4147.899999976158,798922,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
7xl20setwa,1232.3999999761581,803922,63d7ee907428a7db59b6b6f4,0,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
7xl20setwa,3347.800000011921,828455,63d7ee907428a7db59b6b6f4,,668582e30cf76773d7ac09c4,668590e677272f7336ec43bf,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
