subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
86vjgtfxsl,27460,439632,5fbb4b0d5fdea9c55f813ace,1,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
86vjgtfxsl,24827,493224,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The postdoc did not attend,,ans,c3
86vjgtfxsl,20939,557003,5fbb4b0d5fdea9c55f813ace,1,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
86vjgtfxsl,33585,611339,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The candidate did not have skill A,,ans,d1
86vjgtfxsl,9032,631585,5fbb4b0d5fdea9c55f813ace,0,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
86vjgtfxsl,10291,659377,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
86vjgtfxsl,35347,701417,5fbb4b0d5fdea9c55f813ace,0,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
86vjgtfxsl,7657,731432,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
86vjgtfxsl,14425,761834,5fbb4b0d5fdea9c55f813ace,0,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
86vjgtfxsl,7623,794789,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The chef did not complete the main dish,,ans,c2
86vjgtfxsl,6835,811067,5fbb4b0d5fdea9c55f813ace,1,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
86vjgtfxsl,21500,844958,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The lecturer did not attend,,ans,c1
86vjgtfxsl,11616,863224,5fbb4b0d5fdea9c55f813ace,0,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,50%,10%,50%,80%,job,1,1,1,0,,,stim,c5
86vjgtfxsl,15062,906006,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
86vjgtfxsl,17678,929884,5fbb4b0d5fdea9c55f813ace,1,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
86vjgtfxsl,12165,961185,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The main dish did not impress the panel,,ans,d4
86vjgtfxsl,14643,981709,5fbb4b0d5fdea9c55f813ace,1,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
86vjgtfxsl,16504,1023153,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The lecturer talked about the paper,,ans,d7
86vjgtfxsl,13115,1041830,5fbb4b0d5fdea9c55f813ace,1,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
86vjgtfxsl,8183,1061863,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The lecturer talked about the paper,,ans,d5
86vjgtfxsl,5847,1074030,5fbb4b0d5fdea9c55f813ace,1,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
86vjgtfxsl,17306,1117062,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
86vjgtfxsl,17670,1140755,5fbb4b0d5fdea9c55f813ace,0,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
86vjgtfxsl,6135,1160706,5fbb4b0d5fdea9c55f813ace,,668582e30cf76773d7ac09c4,6685906e8135c2b50ad6df27,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
