subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
8bxuwf290p,25311.300000000745,218720,667b05010bedb64e90b3e0f0,0,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
8bxuwf290p,50076.09999999963,297044,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The dessert impressed the panel,,ans,d7
8bxuwf290p,16029.300000000745,323602,667b05010bedb64e90b3e0f0,0,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
8bxuwf290p,13181.900000000373,352752,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The dessert impressed the panel,,ans,c2
8bxuwf290p,16361.400000000373,382572,667b05010bedb64e90b3e0f0,0,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
8bxuwf290p,9688,405789,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The postdoc talked about the paper,,ans,d3
8bxuwf290p,6760.699999999255,417269,667b05010bedb64e90b3e0f0,0,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
8bxuwf290p,18382,442103,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The postdoc attended,,ans,c4
8bxuwf290p,3318.5999999996275,449503,667b05010bedb64e90b3e0f0,1,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,80%,50%,10%,70%,group,0,0,0,1,,,stim,d1
8bxuwf290p,8553.699999999255,468068,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The lecturer did not attend,,ans,d1
8bxuwf290p,11702.300000000745,483576,667b05010bedb64e90b3e0f0,0,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
8bxuwf290p,11729.699999999255,510399,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The chef did not complete the dessert,,ans,c3
8bxuwf290p,4701.200000001118,519618,667b05010bedb64e90b3e0f0,1,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
8bxuwf290p,11299.400000000373,538059,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The main dish did not impress the panel,,ans,d6
8bxuwf290p,8218.400000000373,549312,667b05010bedb64e90b3e0f0,1,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
8bxuwf290p,15835.799999998882,571552,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The lecturer talked about the paper,,ans,c5
8bxuwf290p,6875.4000000003725,582568,667b05010bedb64e90b3e0f0,0,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
8bxuwf290p,15174.099999999627,599198,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The chef did not complete the dessert,,ans,c1
8bxuwf290p,16735.799999998882,621348,667b05010bedb64e90b3e0f0,1,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
8bxuwf290p,10222.799999998882,640992,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
8bxuwf290p,12741.099999999627,670705,667b05010bedb64e90b3e0f0,1,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
8bxuwf290p,7669,687389,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
8bxuwf290p,9769.60000000149,700855,667b05010bedb64e90b3e0f0,1,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
8bxuwf290p,6760.300000000745,718478,667b05010bedb64e90b3e0f0,,668582e30cf76773d7ac09c4,66858f5a1c5862a09fdf0024,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
