subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
8n17o55747,23430.59999999404,338316,60211a7c07e6f203ccb99231,1,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
8n17o55747,18464.10000000149,383541,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
8n17o55747,17238.60000000149,430179,60211a7c07e6f203ccb99231,0,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
8n17o55747,13382.89999999851,463324,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The chef did not complete the dessert,,ans,d4
8n17o55747,1190.7000000029802,830300,60211a7c07e6f203ccb99231,1,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
8n17o55747,12696.29999999702,845437,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The lecturer did not attend,,ans,d3
8n17o55747,908.2999999970198,848819,60211a7c07e6f203ccb99231,1,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
8n17o55747,13662.80000000447,864028,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The candidate did not have skill A,,ans,d1
8n17o55747,1295.8999999985099,1090186,60211a7c07e6f203ccb99231,0,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
8n17o55747,23454.29999999702,1116233,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c5
8n17o55747,1115,1122333,60211a7c07e6f203ccb99231,1,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
8n17o55747,13489.29999999702,1138144,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The chef did not complete the main dish,,ans,c2
8n17o55747,1032.2999999970198,1142377,60211a7c07e6f203ccb99231,0,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
8n17o55747,13983.39999999851,1158055,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The lecturer talked about the paper,,ans,d7
8n17o55747,1206.7999999970198,1162879,60211a7c07e6f203ccb99231,0,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
8n17o55747,12295.20000000298,1177328,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The main dish did not impress the panel,,ans,d6
8n17o55747,1360.6000000014901,1181737,60211a7c07e6f203ccb99231,1,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,50%,80%,50%,10%,job,0,1,0,1,,,stim,d2
8n17o55747,10919.30000000447,1194608,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The candidate did not have skill A,,ans,d2
8n17o55747,1134.1000000014901,1199023,60211a7c07e6f203ccb99231,0,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
8n17o55747,12686.89999999851,1213456,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
8n17o55747,1334.5,1217727,60211a7c07e6f203ccb99231,1,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
8n17o55747,13239.09999999404,1233024,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The lecturer did not attend,,ans,c1
8n17o55747,966.9000000059605,1236751,60211a7c07e6f203ccb99231,1,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
8n17o55747,38143.89999999851,1276952,60211a7c07e6f203ccb99231,,668582e30cf76773d7ac09c4,66859158a76d5e55582d1ad0,,,,,,,,,,The postdoc did not attend,,ans,c3
