subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
97brc782fb,30191.70000000298,321283,5b59a51fca6d01000157a8c3,1,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
97brc782fb,23359.5,372188,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
97brc782fb,7591.29999999702,386171,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
97brc782fb,29575.60000000894,435347,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The candidate did not have skill A,,ans,c2
97brc782fb,4807.300000011921,445067,5b59a51fca6d01000157a8c3,1,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,50%,80%,50%,10%,job,0,1,0,1,,,stim,d2
97brc782fb,23975.69999998808,494915,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
97brc782fb,11303.5,516363,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
97brc782fb,32087.60000000894,558947,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
97brc782fb,12095.5,583122,5b59a51fca6d01000157a8c3,1,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
97brc782fb,27519.79999999702,620188,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The postdoc talked about the paper,,ans,c5
97brc782fb,12303.60000000894,647683,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
97brc782fb,13255.90000000596,676059,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The dessert did not impress the panel,,ans,d6
97brc782fb,8815.09999999404,708235,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
97brc782fb,28831.79999999702,744699,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The lecturer talked about the paper,,ans,d5
97brc782fb,10671.5,759499,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
97brc782fb,10959.20000000298,778507,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The candidate did not have skill B,,ans,d1
97brc782fb,9695.70000000298,791971,5b59a51fca6d01000157a8c3,1,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
97brc782fb,6207.9000000059605,808380,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
97brc782fb,1303.5,815435,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
97brc782fb,10375.40000000596,854171,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The lecturer talked about the paper,,ans,d7
97brc782fb,70391.39999999106,931619,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
97brc782fb,11591.60000000894,953107,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The chef did not complete the dessert,,ans,c1
97brc782fb,11191.40000000596,968707,5b59a51fca6d01000157a8c3,0,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,10%,50%,80%,50%,job,1,0,0,1,,,stim,d4
97brc782fb,15687.40000000596,990299,5b59a51fca6d01000157a8c3,,668582e30cf76773d7ac09c4,6685921b98b08e9eaf971bcd,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
