subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
9gs9y8xgly,238612,817039,661849a65cba8b07213ca8e0,1,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,80%,50%,10%,70%,group,0,1,1,1,,,stim,d3
9gs9y8xgly,37219,887516,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The postdoc talked about the paper,,ans,d3
9gs9y8xgly,22560,933409,661849a65cba8b07213ca8e0,1,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
9gs9y8xgly,97902,1049143,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The main dish impressed the panel,,ans,c5
9gs9y8xgly,29335,1100689,661849a65cba8b07213ca8e0,0,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
9gs9y8xgly,5173,1156525,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
9gs9y8xgly,18368,1184952,661849a65cba8b07213ca8e0,0,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
9gs9y8xgly,20636,1236481,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
9gs9y8xgly,7476,1251207,661849a65cba8b07213ca8e0,0,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
9gs9y8xgly,8495,1330685,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The candidate did not have skill B,,ans,c3
9gs9y8xgly,2490,1338525,661849a65cba8b07213ca8e0,0,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
9gs9y8xgly,65378,1417807,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
9gs9y8xgly,2737,1432967,661849a65cba8b07213ca8e0,1,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
9gs9y8xgly,25184,1530519,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
9gs9y8xgly,1317,1541741,661849a65cba8b07213ca8e0,1,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
9gs9y8xgly,42623,1587939,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
9gs9y8xgly,1125,1591774,661849a65cba8b07213ca8e0,1,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
9gs9y8xgly,16611,1610428,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
9gs9y8xgly,1079,1614782,661849a65cba8b07213ca8e0,1,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
9gs9y8xgly,15661,1632054,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The chef did not complete the main dish,,ans,c2
9gs9y8xgly,1383,1637153,661849a65cba8b07213ca8e0,1,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
9gs9y8xgly,16787,1655947,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The candidate did not have skill B,,ans,c1
9gs9y8xgly,942,1660019,661849a65cba8b07213ca8e0,0,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,10%,50%,80%,50%,group,0,0,0,1,,,stim,d1
9gs9y8xgly,16013,1677780,661849a65cba8b07213ca8e0,,668582e30cf76773d7ac09c4,66859bed706231b1cf15565d,,,,,,,,,,The postdoc did not attend,,ans,d1
