subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
9q547hl0qz,10317,203984,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
9q547hl0qz,27577,245144,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
9q547hl0qz,5551,262711,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
9q547hl0qz,6920,278792,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The dessert did not impress the panel,,ans,c2
9q547hl0qz,1183,285544,5ba2a1c8c96df90001ce9159,0,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
9q547hl0qz,6183,305096,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The main dish impressed the panel,,ans,d3
9q547hl0qz,1896,512535,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
9q547hl0qz,14296,534136,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The postdoc did not attend,,ans,d4
9q547hl0qz,3927,541735,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
9q547hl0qz,8335,572512,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c1
9q547hl0qz,1667,577168,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
9q547hl0qz,7319,587408,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The candidate had skill B,,ans,d6
9q547hl0qz,950,592135,5ba2a1c8c96df90001ce9159,0,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
9q547hl0qz,16224,610728,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The main dish impressed the panel,,ans,c5
9q547hl0qz,1335,615046,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
9q547hl0qz,102704,719400,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
9q547hl0qz,1655,724263,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
9q547hl0qz,6944,736896,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The candidate had skill B,,ans,d7
9q547hl0qz,1267,740935,5ba2a1c8c96df90001ce9159,1,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
9q547hl0qz,9311,753712,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The candidate did not have skill B,,ans,d1
9q547hl0qz,1816,758367,5ba2a1c8c96df90001ce9159,0,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
9q547hl0qz,12672,777312,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The main dish did not impress the panel,,ans,d2
9q547hl0qz,1343,782287,5ba2a1c8c96df90001ce9159,0,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
9q547hl0qz,9536,796424,5ba2a1c8c96df90001ce9159,,668582e30cf76773d7ac09c4,668592a3807db2a31251fb94,,,,,,,,,,The candidate had skill A,,ans,d5
