subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
a6sp7569du,41511.09999999404,493082,5c55a56ae66e510001ee791d,0,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,10%,50%,80%,50%,group,0,0,0,1,,,stim,d1
a6sp7569du,13886.800000011921,529850,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The postdoc did not attend,,ans,d1
a6sp7569du,14119,559119,5c55a56ae66e510001ee791d,0,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
a6sp7569du,41631.20000000298,620276,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The dessert did not impress the panel,,ans,c1
a6sp7569du,6263.0999999940395,633100,5c55a56ae66e510001ee791d,1,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
a6sp7569du,17311.59999999404,664412,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The postdoc talked about the paper,,ans,d3
a6sp7569du,14375.29999999702,683425,5c55a56ae66e510001ee791d,1,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
a6sp7569du,26887.29999999702,729486,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The chef did not complete the main dish,,ans,c2
a6sp7569du,7183.199999988079,740870,5c55a56ae66e510001ee791d,0,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
a6sp7569du,34711.5,783446,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The lecturer attended,,ans,c3
a6sp7569du,2311.2000000029802,789371,5c55a56ae66e510001ee791d,1,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
a6sp7569du,13511.10000000894,813739,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The main dish impressed the panel,,ans,d7
a6sp7569du,2463.1000000089407,819883,5c55a56ae66e510001ee791d,1,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
a6sp7569du,28623.40000000596,858041,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
a6sp7569du,6111.100000008941,867904,5c55a56ae66e510001ee791d,1,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,50%,80%,50%,10%,job,1,0,1,1,,,stim,d5
a6sp7569du,15855.5,905857,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
a6sp7569du,2063.2999999970198,912478,5c55a56ae66e510001ee791d,1,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
a6sp7569du,11759.39999999106,936230,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The candidate had skill A,,ans,c5
a6sp7569du,5407.20000000298,945534,5c55a56ae66e510001ee791d,0,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
a6sp7569du,29735.5,983163,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The lecturer talked about the paper,,ans,d4
a6sp7569du,1455.5,988675,5c55a56ae66e510001ee791d,0,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
a6sp7569du,42023.60000000894,1035856,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
a6sp7569du,1447.1000000089407,1040495,5c55a56ae66e510001ee791d,1,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
a6sp7569du,27127.39999999106,1070880,5c55a56ae66e510001ee791d,,668582e30cf76773d7ac09c4,6685936781f49a0e64a5f6c8,,,,,,,,,,The postdoc attended,,ans,d2
