subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ao465efu0o,39882.90000000596,1034994,6605eaefd982b606054fda4c,1,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
ao465efu0o,85370.09999999404,1180584,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The postdoc did not attend,,ans,c3
ao465efu0o,15723.89999999851,1219013,6605eaefd982b606054fda4c,0,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
ao465efu0o,67929.19999999553,1316970,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
ao465efu0o,5557.10000000149,1338494,6605eaefd982b606054fda4c,1,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
ao465efu0o,10097.40000000596,1388582,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
ao465efu0o,39674.60000000149,1440165,6605eaefd982b606054fda4c,0,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
ao465efu0o,11097.5,1515120,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The dessert did not impress the panel,,ans,c2
ao465efu0o,19243.5,1548820,6605eaefd982b606054fda4c,1,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
ao465efu0o,16820.80000000447,1624299,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The lecturer talked about the paper,,ans,d5
ao465efu0o,9889.5,1654777,6605eaefd982b606054fda4c,0,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
ao465efu0o,12262.89999999851,1711606,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The dessert did not impress the panel,,ans,d2
ao465efu0o,2704.2999999970198,1735759,6605eaefd982b606054fda4c,1,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
ao465efu0o,13529.10000000149,1781334,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
ao465efu0o,15194.40000000596,1808410,6605eaefd982b606054fda4c,0,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
ao465efu0o,46593.29999999702,1880110,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The postdoc did not attend,,ans,d1
ao465efu0o,20806.20000000298,1912971,6605eaefd982b606054fda4c,1,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
ao465efu0o,9156.20000000298,1956586,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The postdoc talked about the paper,,ans,d3
ao465efu0o,50213.89999999851,2036859,6605eaefd982b606054fda4c,0,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
ao465efu0o,19842.90000000596,2099256,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The main dish did not impress the panel,,ans,c4
ao465efu0o,5943.10000000149,2116688,6605eaefd982b606054fda4c,0,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
ao465efu0o,103150.29999999702,2227080,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The candidate did not have skill B,,ans,c1
ao465efu0o,15963.80000000447,2253143,6605eaefd982b606054fda4c,0,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
ao465efu0o,86347.20000000298,2343573,6605eaefd982b606054fda4c,,668582e30cf76773d7ac09c4,6685943d594f9cde208ef315,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
