subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
auur0vu0hb,20613,282098,614a4492903df4380cb1a0c2,1,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
auur0vu0hb,23643,357396,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
auur0vu0hb,29899,413811,614a4492903df4380cb1a0c2,0,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
auur0vu0hb,27315,460040,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The dessert impressed the panel,,ans,d7
auur0vu0hb,14352,484787,614a4492903df4380cb1a0c2,0,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
auur0vu0hb,5608,511910,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The postdoc did not attend,,ans,d4
auur0vu0hb,13144,550510,614a4492903df4380cb1a0c2,1,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
auur0vu0hb,8172,587522,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The main dish did not impress the panel,,ans,c3
auur0vu0hb,12077,637647,614a4492903df4380cb1a0c2,1,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
auur0vu0hb,15190,674290,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
auur0vu0hb,7029,687459,614a4492903df4380cb1a0c2,0,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
auur0vu0hb,5197,701957,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The chef completed the main dish,,ans,c5
auur0vu0hb,14744,721682,614a4492903df4380cb1a0c2,1,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
auur0vu0hb,3040,734004,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The candidate did not have skill A,,ans,d1
auur0vu0hb,5591,743020,614a4492903df4380cb1a0c2,1,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
auur0vu0hb,2498,756849,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The candidate had skill A,,ans,d5
auur0vu0hb,8596,771113,614a4492903df4380cb1a0c2,0,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
auur0vu0hb,39649,825566,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The chef did not complete the main dish,,ans,c1
auur0vu0hb,3015,833994,614a4492903df4380cb1a0c2,0,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
auur0vu0hb,20571,868514,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
auur0vu0hb,3684,878193,614a4492903df4380cb1a0c2,0,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,10%,50%,80%,50%,job,0,1,0,0,,,stim,c2
auur0vu0hb,8514,898327,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The candidate did not have skill A,,ans,c2
auur0vu0hb,21388,922709,614a4492903df4380cb1a0c2,1,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
auur0vu0hb,4555,933164,614a4492903df4380cb1a0c2,,668582e30cf76773d7ac09c4,66858884763565064cf70cfc,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
