subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
axbe67sosu,20679.300000071526,366224,59c671c846f7210001906744,1,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
axbe67sosu,33732.10000002384,420195,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The lecturer did not attend,,ans,d1
axbe67sosu,18841.100000023842,460963,59c671c846f7210001906744,1,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
axbe67sosu,22158.5,500995,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The dessert impressed the panel,,ans,c5
axbe67sosu,12388.599999904633,520563,59c671c846f7210001906744,0,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
axbe67sosu,14598.600000023842,543086,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The postdoc did not attend,,ans,d4
axbe67sosu,26718,581581,59c671c846f7210001906744,0,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
axbe67sosu,13008.800000071526,604523,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
axbe67sosu,5453.800000071526,616063,59c671c846f7210001906744,0,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
axbe67sosu,6385.5,634726,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The postdoc did not attend,,ans,c1
axbe67sosu,5151,646141,59c671c846f7210001906744,1,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
axbe67sosu,17409.299999952316,676355,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
axbe67sosu,3623.399999976158,684630,59c671c846f7210001906744,0,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
axbe67sosu,5759.899999976158,701592,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
axbe67sosu,10912.399999976158,717686,59c671c846f7210001906744,0,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
axbe67sosu,26671.200000047684,748929,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
axbe67sosu,10485.300000071526,765071,59c671c846f7210001906744,1,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
axbe67sosu,18035.399999976158,789130,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The candidate demonstrated skill A,,ans,d6
axbe67sosu,2557.6999999284744,796979,59c671c846f7210001906744,1,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
axbe67sosu,18377.899999976158,821954,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The postdoc talked about the paper,,ans,d3
axbe67sosu,4872.199999928474,831278,59c671c846f7210001906744,0,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
axbe67sosu,18340.899999976158,853800,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The lecturer talked about the paper,,ans,d7
axbe67sosu,1809.6000000238419,859575,59c671c846f7210001906744,1,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
axbe67sosu,10966.800000071526,876144,59c671c846f7210001906744,,668582e30cf76773d7ac09c4,6685938717a1957503f5c3d0,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
