subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
axxhuzmwon,23974.799999952316,183934,6071e7e8f858a84483519a0c,0,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
axxhuzmwon,14280.100000143051,216486,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The chef completed the dessert,,ans,c2
axxhuzmwon,7895.300000190735,232098,6071e7e8f858a84483519a0c,1,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
axxhuzmwon,15681.600000143051,255480,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The chef did not complete the main dish,,ans,c1
axxhuzmwon,10167,272186,6071e7e8f858a84483519a0c,1,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
axxhuzmwon,9608.599999904633,291988,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
axxhuzmwon,5073.399999856949,302686,6071e7e8f858a84483519a0c,0,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
axxhuzmwon,9289,317200,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The candidate did not have skill A,,ans,d1
axxhuzmwon,5232.899999856949,328593,6071e7e8f858a84483519a0c,1,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
axxhuzmwon,4989.099999904633,341318,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The chef did not complete the dessert,,ans,d4
axxhuzmwon,4108.900000095367,350539,6071e7e8f858a84483519a0c,0,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
axxhuzmwon,6782.299999952316,363711,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The chef did not complete the dessert,,ans,c3
axxhuzmwon,2091.0999999046326,372104,6071e7e8f858a84483519a0c,1,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
axxhuzmwon,7041.299999952316,383970,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The chef did not complete the main dish,,ans,d2
axxhuzmwon,8316.899999856949,400110,6071e7e8f858a84483519a0c,1,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
axxhuzmwon,10479,417314,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The lecturer talked about the paper,,ans,c5
axxhuzmwon,1400.9000000953674,422314,6071e7e8f858a84483519a0c,0,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
axxhuzmwon,5913.200000047684,434422,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The dessert impressed the panel,,ans,d3
axxhuzmwon,3054,442141,6071e7e8f858a84483519a0c,0,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
axxhuzmwon,5693.200000047684,454270,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The lecturer talked about the paper,,ans,d7
axxhuzmwon,3087.0999999046326,460443,6071e7e8f858a84483519a0c,0,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
axxhuzmwon,6884,471756,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The main dish did not impress the panel,,ans,d6
axxhuzmwon,4078.5999999046326,479136,6071e7e8f858a84483519a0c,1,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
axxhuzmwon,3581.2999999523163,486815,6071e7e8f858a84483519a0c,,668582e30cf76773d7ac09c4,66858acf13c938e83b4f18c3,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
