subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
b87469p6cc,1419,753137,662272066013abcabf380845,1,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
b87469p6cc,9176,764566,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The lecturer did not attend,,ans,c1
b87469p6cc,2248,770097,662272066013abcabf380845,1,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
b87469p6cc,27058.29999999702,803447,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The candidate demonstrated skill A,,ans,c4
b87469p6cc,1764.5,809562,662272066013abcabf380845,1,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
b87469p6cc,10009.79999999702,824881,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The chef did not complete the main dish,,ans,c2
b87469p6cc,1730.4000000059605,830211,662272066013abcabf380845,1,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
b87469p6cc,11231.40000000596,845814,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The dessert did not impress the panel,,ans,d5
b87469p6cc,1379.8999999910593,850560,662272066013abcabf380845,1,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
b87469p6cc,5977.100000008941,859660,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The chef did not complete the main dish,,ans,d2
b87469p6cc,1381.1000000089407,864596,662272066013abcabf380845,1,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,80%,50%,10%,50%,group,1,1,1,0,,,stim,c5
b87469p6cc,8938.10000000894,876733,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The lecturer attended,,ans,c5
b87469p6cc,2133.2000000029802,884495,662272066013abcabf380845,0,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
b87469p6cc,9242.39999999106,898459,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c3
b87469p6cc,1481.6000000089407,903329,662272066013abcabf380845,0,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
b87469p6cc,6778.29999999702,915608,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The lecturer attended,,ans,d4
b87469p6cc,1528.2999999970198,920559,662272066013abcabf380845,0,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
b87469p6cc,6950.20000000298,930894,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The candidate had skill A,,ans,d6
b87469p6cc,1597.2000000029802,936008,662272066013abcabf380845,1,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
b87469p6cc,6644.70000000298,946210,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The dessert impressed the panel,,ans,d7
b87469p6cc,1759.2999999970198,951356,662272066013abcabf380845,0,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
b87469p6cc,10482.40000000596,965073,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The postdoc talked about the paper,,ans,d3
b87469p6cc,1345.8999999910593,971070,662272066013abcabf380845,0,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
b87469p6cc,8424.199999988079,982588,662272066013abcabf380845,,668582e30cf76773d7ac09c4,668592f7562f091b64b8308a,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d1
