subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
bd3x6cg4tf,12158.40000000596,155999,6682db08d953c2cf476e16a2,1,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
bd3x6cg4tf,24689.399999976158,196649,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
bd3x6cg4tf,13225.199999988079,265824,6682db08d953c2cf476e16a2,1,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,80%,50%,10%,70%,group,0,0,0,1,,,stim,d1
bd3x6cg4tf,39603.20000001788,324478,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The lecturer did not attend,,ans,d1
bd3x6cg4tf,9383.40000000596,349481,6682db08d953c2cf476e16a2,1,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
bd3x6cg4tf,23738.399999976158,395616,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The dessert impressed the panel,,ans,c5
bd3x6cg4tf,12325.5,413477,6682db08d953c2cf476e16a2,1,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
bd3x6cg4tf,19252.40000000596,444988,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
bd3x6cg4tf,1206.5,449098,6682db08d953c2cf476e16a2,0,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,50%,10%,50%,80%,job,0,0,0,0,,,stim,c1
bd3x6cg4tf,9905.600000023842,470610,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The candidate did not have skill A,,ans,c1
bd3x6cg4tf,3313.4000000059605,476524,6682db08d953c2cf476e16a2,0,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
bd3x6cg4tf,21296.70000001788,503331,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The lecturer attended,,ans,d7
bd3x6cg4tf,6759.4000000059605,520058,6682db08d953c2cf476e16a2,0,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
bd3x6cg4tf,4510.300000011921,533250,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The postdoc attended,,ans,d6
bd3x6cg4tf,1243.5,536896,6682db08d953c2cf476e16a2,0,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
bd3x6cg4tf,33363.40000000596,575091,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The candidate did not have skill A,,ans,d2
bd3x6cg4tf,3103.2000000178814,583276,6682db08d953c2cf476e16a2,1,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,80%,50%,10%,50%,group,0,1,0,0,,,stim,c2
bd3x6cg4tf,11058.40000000596,601925,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
bd3x6cg4tf,2656.5999999940395,609046,6682db08d953c2cf476e16a2,1,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
bd3x6cg4tf,13034.199999988079,629427,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The dessert impressed the panel,,ans,d3
bd3x6cg4tf,3020.4000000059605,635261,6682db08d953c2cf476e16a2,1,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
bd3x6cg4tf,10451.59999999404,649898,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The lecturer talked about the paper,,ans,d5
bd3x6cg4tf,1076.4000000059605,653824,6682db08d953c2cf476e16a2,0,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
bd3x6cg4tf,18114.40000000596,673885,6682db08d953c2cf476e16a2,,668582e30cf76773d7ac09c4,668588fcfbd787de3b249163,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
