subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
bu7ba6c6uj,10973.199999999255,153267,5e56a20d412e89053bc365bf,1,668582e30cf76773d7ac09c4,668590691b152354d8048b52,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
bu7ba6c6uj,25062.39999999851,193198,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The dessert impressed the panel,,ans,c5
bu7ba6c6uj,10857.199999999255,213983,5e56a20d412e89053bc365bf,0,668582e30cf76773d7ac09c4,668590691b152354d8048b52,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
bu7ba6c6uj,10498.300000000745,236322,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The lecturer did not attend,,ans,d2
bu7ba6c6uj,13327.099999997765,275335,5e56a20d412e89053bc365bf,0,668582e30cf76773d7ac09c4,668590691b152354d8048b52,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
bu7ba6c6uj,10707.300000000745,300267,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
bu7ba6c6uj,10936.39999999851,325684,5e56a20d412e89053bc365bf,0,668582e30cf76773d7ac09c4,668590691b152354d8048b52,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
bu7ba6c6uj,20972.199999999255,363296,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
bu7ba6c6uj,12260,383004,5e56a20d412e89053bc365bf,1,668582e30cf76773d7ac09c4,668590691b152354d8048b52,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
bu7ba6c6uj,8222.199999999255,402665,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The chef did not complete the dessert,,ans,c3
bu7ba6c6uj,2793.89999999851,408752,5e56a20d412e89053bc365bf,0,668582e30cf76773d7ac09c4,668590691b152354d8048b52,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
bu7ba6c6uj,7560.400000002235,431464,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The dessert impressed the panel,,ans,d3
bu7ba6c6uj,19349.5,453560,5e56a20d412e89053bc365bf,1,668582e30cf76773d7ac09c4,668590691b152354d8048b52,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
bu7ba6c6uj,4288.400000002235,469924,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The chef did not complete the main dish,,ans,c2
bu7ba6c6uj,10063.300000000745,482879,5e56a20d412e89053bc365bf,0,668582e30cf76773d7ac09c4,668590691b152354d8048b52,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
bu7ba6c6uj,2726.300000000745,498688,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The main dish did not impress the panel,,ans,d4
bu7ba6c6uj,16983.10000000149,519401,5e56a20d412e89053bc365bf,1,668582e30cf76773d7ac09c4,668590691b152354d8048b52,50%,80%,50%,10%,job,1,0,1,1,,,stim,d5
bu7ba6c6uj,4327.5,531300,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
bu7ba6c6uj,5869.300000000745,540287,5e56a20d412e89053bc365bf,0,668582e30cf76773d7ac09c4,668590691b152354d8048b52,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
bu7ba6c6uj,28543.39999999851,577089,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
bu7ba6c6uj,7819.10000000149,592829,5e56a20d412e89053bc365bf,0,668582e30cf76773d7ac09c4,668590691b152354d8048b52,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
bu7ba6c6uj,6206.5,614976,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The chef did not complete the dessert,,ans,d1
bu7ba6c6uj,22212.199999999255,639597,5e56a20d412e89053bc365bf,1,668582e30cf76773d7ac09c4,668590691b152354d8048b52,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
bu7ba6c6uj,13993.5,665488,5e56a20d412e89053bc365bf,,668582e30cf76773d7ac09c4,668590691b152354d8048b52,,,,,,,,,,The lecturer did not attend,,ans,c1
