subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
dgo1kzk0r9,27375.10000000149,593840,5f7aaea6bf94dd717b471063,1,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
dgo1kzk0r9,59167.29999999702,692464,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The dessert impressed the panel,,ans,d3
dgo1kzk0r9,25438.79999999702,738655,5f7aaea6bf94dd717b471063,1,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
dgo1kzk0r9,48894.79999999702,805072,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The chef did not complete the main dish,,ans,c1
dgo1kzk0r9,17102.80000000447,843416,5f7aaea6bf94dd717b471063,1,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
dgo1kzk0r9,31991.20000000298,901561,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The postdoc talked about the paper,,ans,d5
dgo1kzk0r9,83423.10000000149,1001480,5f7aaea6bf94dd717b471063,0,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
dgo1kzk0r9,50239.60000000149,1075817,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The candidate did not have skill B,,ans,d1
dgo1kzk0r9,76407.69999999553,1182385,5f7aaea6bf94dd717b471063,1,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
dgo1kzk0r9,34262.80000000447,1243625,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
dgo1kzk0r9,11189.79999999702,1382792,5f7aaea6bf94dd717b471063,0,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
dgo1kzk0r9,28615.20000000298,1429097,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
dgo1kzk0r9,20335.09999999404,1474969,5f7aaea6bf94dd717b471063,0,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
dgo1kzk0r9,38671.29999999702,1532618,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The main dish impressed the panel,,ans,d7
dgo1kzk0r9,16511.10000000149,1594289,5f7aaea6bf94dd717b471063,0,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
dgo1kzk0r9,16481.39999999851,1629523,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The chef did not complete the dessert,,ans,c3
dgo1kzk0r9,16535.20000000298,1676505,5f7aaea6bf94dd717b471063,0,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
dgo1kzk0r9,8350.89999999851,1706961,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The dessert did not impress the panel,,ans,c4
dgo1kzk0r9,20806.89999999851,1747049,5f7aaea6bf94dd717b471063,1,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
dgo1kzk0r9,16023.10000000149,1793818,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The candidate did not have skill B,,ans,d4
dgo1kzk0r9,14446.60000000149,1818769,5f7aaea6bf94dd717b471063,0,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
dgo1kzk0r9,13399.60000000149,1844986,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
dgo1kzk0r9,16638.70000000298,1886369,5f7aaea6bf94dd717b471063,0,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
dgo1kzk0r9,13182.79999999702,1921970,5f7aaea6bf94dd717b471063,,668582e30cf76773d7ac09c4,66858bcdc17c313a63ee75e8,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
