subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
dn2dr6uogu,11065.600000023842,145105,5f31233084da6004d4e59bc0,1,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
dn2dr6uogu,20991.299999952316,177965,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The chef completed the main dish,,ans,c3
dn2dr6uogu,1713.2999999523163,187032,5f31233084da6004d4e59bc0,1,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
dn2dr6uogu,33311.10000002384,231498,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The lecturer talked about the paper,,ans,d6
dn2dr6uogu,1235.4000000953674,240582,5f31233084da6004d4e59bc0,1,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
dn2dr6uogu,7439.600000023842,251899,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The lecturer did not attend,,ans,c1
dn2dr6uogu,9713.200000047684,266844,5f31233084da6004d4e59bc0,1,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
dn2dr6uogu,10357.100000023842,284364,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
dn2dr6uogu,991.1999999284744,287694,5f31233084da6004d4e59bc0,0,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
dn2dr6uogu,5785.300000071526,296528,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The lecturer talked about the paper,,ans,c5
dn2dr6uogu,1403.6000000238419,301362,5f31233084da6004d4e59bc0,0,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
dn2dr6uogu,9805.299999952316,314760,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The candidate had skill B,,ans,d2
dn2dr6uogu,947.1999999284744,317882,5f31233084da6004d4e59bc0,1,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,80%,50%,10%,50%,group,0,1,0,0,,,stim,c2
dn2dr6uogu,4321.5,325872,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The postdoc attended,,ans,c2
dn2dr6uogu,799.3000000715256,328656,5f31233084da6004d4e59bc0,1,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
dn2dr6uogu,15195.299999952316,345946,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
dn2dr6uogu,863.4000000953674,348754,5f31233084da6004d4e59bc0,0,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
dn2dr6uogu,4429.299999952316,354572,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The lecturer talked about the paper,,ans,d7
dn2dr6uogu,719.3000000715256,357264,5f31233084da6004d4e59bc0,0,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
dn2dr6uogu,4569.600000023842,363142,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The candidate did not have skill A,,ans,d1
dn2dr6uogu,759.4000000953674,365686,5f31233084da6004d4e59bc0,0,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
dn2dr6uogu,5659.399999976158,441890,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
dn2dr6uogu,699,445208,5f31233084da6004d4e59bc0,1,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
dn2dr6uogu,3939.4000000953674,451088,5f31233084da6004d4e59bc0,,668582e30cf76773d7ac09c4,66858efb6c648fb225cc023e,,,,,,,,,,The chef completed the main dish,,ans,d4
