subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
dsl37ubkqv,14308,171664,5c3a179abef9a20001e421b5,1,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
dsl37ubkqv,11399,206180,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The chef did not complete the main dish,,ans,c2
dsl37ubkqv,5570.199999809265,234960,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
dsl37ubkqv,23577.800000190735,268406,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The lecturer attended,,ans,c5
dsl37ubkqv,8811.099999427795,287241,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
dsl37ubkqv,15749.29999923706,309168,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
dsl37ubkqv,8986.5,327270,5c3a179abef9a20001e421b5,1,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
dsl37ubkqv,21879.599999427795,354871,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The candidate did not have skill A,,ans,d1
dsl37ubkqv,2223.7000007629395,363703,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
dsl37ubkqv,30309,400210,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
dsl37ubkqv,4870.199999809265,412039,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
dsl37ubkqv,24868.39999961853,444929,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The lecturer talked about the paper,,ans,d5
dsl37ubkqv,2331.800000190735,453632,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
dsl37ubkqv,20915.79999923706,478970,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The lecturer did not attend,,ans,d2
dsl37ubkqv,1755.6999998092651,485556,5c3a179abef9a20001e421b5,1,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
dsl37ubkqv,22148.699999809265,510673,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The chef did not complete the dessert,,ans,c1
dsl37ubkqv,1559,517708,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
dsl37ubkqv,21040.800000190735,541200,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The postdoc talked about the paper,,ans,d7
dsl37ubkqv,1605.6999998092651,547078,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
dsl37ubkqv,14274.800000190735,563231,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The postdoc did not attend,,ans,c3
dsl37ubkqv,1519.3999996185303,569234,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
dsl37ubkqv,10106.70000076294,582218,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The candidate did not have skill B,,ans,d4
dsl37ubkqv,2464.699999809265,588835,5c3a179abef9a20001e421b5,0,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
dsl37ubkqv,25365,616610,5c3a179abef9a20001e421b5,,668582e30cf76773d7ac09c4,66858d76cf8f9b001caabbe1,,,,,,,,,,The postdoc talked about the paper,,ans,d3
