subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
e00b0dq7kj,15959.199999999255,142994,59b73df56039190001eaa9e7,1,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
e00b0dq7kj,19790.699999999255,183456,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
e00b0dq7kj,10727.200000001118,212342,59b73df56039190001eaa9e7,0,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,10%,70%,80%,50%,cook,1,0,0,0,,,stim,c3
e00b0dq7kj,9432.400000000373,234999,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The chef did not complete the dessert,,ans,c3
e00b0dq7kj,6018.9000000003725,249692,59b73df56039190001eaa9e7,1,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
e00b0dq7kj,12481.400000000373,269678,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The dessert impressed the panel,,ans,c5
e00b0dq7kj,6477.4000000003725,289074,59b73df56039190001eaa9e7,0,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
e00b0dq7kj,16065.199999999255,314608,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
e00b0dq7kj,6243.5,325546,59b73df56039190001eaa9e7,0,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
e00b0dq7kj,20969.200000001118,352545,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The chef did not complete the dessert,,ans,d1
e00b0dq7kj,4872.9000000003725,364726,59b73df56039190001eaa9e7,0,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
e00b0dq7kj,8141.0999999996275,383267,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
e00b0dq7kj,2323.5,388776,59b73df56039190001eaa9e7,1,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
e00b0dq7kj,12759.099999999627,414386,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
e00b0dq7kj,4639.700000001118,422182,59b73df56039190001eaa9e7,1,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
e00b0dq7kj,5839.300000000745,432162,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
e00b0dq7kj,9865.300000000745,452058,59b73df56039190001eaa9e7,1,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
e00b0dq7kj,4796.700000001118,470366,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The postdoc talked about the paper,,ans,d3
e00b0dq7kj,1205.2000000011176,475358,59b73df56039190001eaa9e7,1,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
e00b0dq7kj,9331.300000000745,486656,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
e00b0dq7kj,3755.0999999996275,494476,59b73df56039190001eaa9e7,0,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
e00b0dq7kj,9565.799999998882,510679,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The chef did not complete the dessert,,ans,c1
e00b0dq7kj,4415.5999999996275,518804,59b73df56039190001eaa9e7,0,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
e00b0dq7kj,6065.300000000745,534406,59b73df56039190001eaa9e7,,668582e30cf76773d7ac09c4,66858c39ca2ec9f9dc88ce56,,,,,,,,,,The dessert did not impress the panel,,ans,c2
