subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ejgkp5uxdm,16742.899999999907,181060,5c97abbfae71890001f15e08,0,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
ejgkp5uxdm,20402,219291,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The chef completed the main dish,,ans,c5
ejgkp5uxdm,7693,246830,5c97abbfae71890001f15e08,1,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
ejgkp5uxdm,16719.099999999977,276726,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The lecturer did not attend,,ans,d1
ejgkp5uxdm,7349.5,581316,5c97abbfae71890001f15e08,0,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
ejgkp5uxdm,6254.399999999907,599229,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The main dish impressed the panel,,ans,d5
ejgkp5uxdm,4976.600000000093,626416,5c97abbfae71890001f15e08,1,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
ejgkp5uxdm,18991.100000000093,649312,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
ejgkp5uxdm,8332.09999999986,668758,5c97abbfae71890001f15e08,1,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
ejgkp5uxdm,5915.600000000093,684503,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The dessert impressed the panel,,ans,d3
ejgkp5uxdm,4529.199999999953,696392,5c97abbfae71890001f15e08,1,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
ejgkp5uxdm,19150.600000000093,722395,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d4
ejgkp5uxdm,2626.3000000000466,736153,5c97abbfae71890001f15e08,1,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
ejgkp5uxdm,10149.899999999907,759394,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The lecturer did not attend,,ans,c3
ejgkp5uxdm,6087.09999999986,784726,5c97abbfae71890001f15e08,0,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
ejgkp5uxdm,7461.800000000047,799317,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The postdoc talked about the paper,,ans,d7
ejgkp5uxdm,2023,807070,5c97abbfae71890001f15e08,0,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
ejgkp5uxdm,7170.399999999907,824039,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
ejgkp5uxdm,10310.59999999986,839756,5c97abbfae71890001f15e08,0,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
ejgkp5uxdm,7983.699999999953,852879,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The candidate did not have skill A,,ans,d2
ejgkp5uxdm,3111,860058,5c97abbfae71890001f15e08,1,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
ejgkp5uxdm,9049.199999999953,874328,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
ejgkp5uxdm,4091.1999999999534,888636,5c97abbfae71890001f15e08,0,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
ejgkp5uxdm,10366.899999999907,904162,5c97abbfae71890001f15e08,,668582e30cf76773d7ac09c4,66859045188c24abbc3126fb,,,,,,,,,,The chef did not complete the dessert,,ans,c1
