subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
elrrrz93za,19752.399999976158,367155,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
elrrrz93za,18682.399999976158,403603,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The main dish did not impress the panel,,ans,c1
elrrrz93za,7048,418987,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
elrrrz93za,24781.199999928474,493410,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The candidate had skill B,,ans,c5
elrrrz93za,2140.6999999284744,516529,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
elrrrz93za,14118.200000047684,543400,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The postdoc attended,,ans,c2
elrrrz93za,4493.5,557881,642e967a90557425ce089ef5,1,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
elrrrz93za,14889.200000047684,581770,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The main dish impressed the panel,,ans,d5
elrrrz93za,2432.5,589160,642e967a90557425ce089ef5,1,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
elrrrz93za,7879.5,626178,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The candidate did not have skill A,,ans,d1
elrrrz93za,3680.7999999523163,635993,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
elrrrz93za,11081,650461,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
elrrrz93za,1162.8999999761581,655175,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
elrrrz93za,4465,664677,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The postdoc talked about the paper,,ans,d2
elrrrz93za,983.7999999523163,669828,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
elrrrz93za,9461.5,684025,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The lecturer attended,,ans,c3
elrrrz93za,5399.899999976158,692878,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
elrrrz93za,5881.799999952316,704825,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The postdoc did not attend,,ans,d4
elrrrz93za,2233.2000000476837,710843,642e967a90557425ce089ef5,1,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
elrrrz93za,4196.799999952316,719909,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The dessert impressed the panel,,ans,d3
elrrrz93za,1747.3999999761581,725640,642e967a90557425ce089ef5,0,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
elrrrz93za,11081.100000023842,740874,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The main dish impressed the panel,,ans,d7
elrrrz93za,41083.800000071526,788407,642e967a90557425ce089ef5,1,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
elrrrz93za,10176.299999952316,801773,642e967a90557425ce089ef5,,668582e30cf76773d7ac09c4,66858eb438fcc8c3dcfc25b4,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
