subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
enksa1xboo,13023.79999999702,121009,5f8820ba0fdd0c276b4d732c,0,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
enksa1xboo,18457.79999999702,148944,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The candidate did not have skill A,,ans,c2
enksa1xboo,7273.70000000298,163146,5f8820ba0fdd0c276b4d732c,0,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
enksa1xboo,11367.79999999702,180427,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The lecturer talked about the paper,,ans,d7
enksa1xboo,4614.600000008941,189522,5f8820ba0fdd0c276b4d732c,1,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,80%,50%,10%,70%,group,1,0,0,1,,,stim,d4
enksa1xboo,4475.399999991059,199163,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The postdoc did not attend,,ans,d4
enksa1xboo,3091.4000000059605,206304,5f8820ba0fdd0c276b4d732c,0,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
enksa1xboo,4022.5,220931,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
enksa1xboo,2973.4000000059605,233007,5f8820ba0fdd0c276b4d732c,1,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
enksa1xboo,7367.899999991059,244167,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The candidate did not have skill B,,ans,d1
enksa1xboo,3113.2999999970198,250892,5f8820ba0fdd0c276b4d732c,1,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
enksa1xboo,2595.4000000059605,256098,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The candidate had skill B,,ans,c5
enksa1xboo,3778.300000011921,264545,5f8820ba0fdd0c276b4d732c,0,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,10%,70%,80%,50%,cook,1,0,0,0,,,stim,c3
enksa1xboo,3325.5,275182,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The chef did not complete the dessert,,ans,c3
enksa1xboo,1864.2999999970198,283277,5f8820ba0fdd0c276b4d732c,1,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
enksa1xboo,3014.4000000059605,290744,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The chef did not complete the main dish,,ans,d3
enksa1xboo,2048.4000000059605,299356,5f8820ba0fdd0c276b4d732c,0,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
enksa1xboo,4333.5,311445,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The dessert did not impress the panel,,ans,d6
enksa1xboo,1438.3999999910593,315359,5f8820ba0fdd0c276b4d732c,0,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
enksa1xboo,4243.600000008941,322897,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The candidate did not have skill A,,ans,d2
enksa1xboo,1529.5,331154,5f8820ba0fdd0c276b4d732c,0,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
enksa1xboo,10297.70000000298,347991,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
enksa1xboo,1303.2999999970198,353385,5f8820ba0fdd0c276b4d732c,1,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
enksa1xboo,2497.5,363491,5f8820ba0fdd0c276b4d732c,,668582e30cf76773d7ac09c4,668592947c5eb517eaee3425,,,,,,,,,,The candidate did not have skill A,,ans,c1
