subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
esfph6tshn,122740.5,1006675,612e1143f0218f2e76cca659,0,668582e30cf76773d7ac09c4,6685925f866906950f249389,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
esfph6tshn,200384.59999999404,1262789,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The lecturer talked about the paper,,ans,c5
esfph6tshn,94703.5,1404199,612e1143f0218f2e76cca659,0,668582e30cf76773d7ac09c4,6685925f866906950f249389,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
esfph6tshn,47711.70000000298,1484022,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
esfph6tshn,16561.09999999404,1511847,612e1143f0218f2e76cca659,1,668582e30cf76773d7ac09c4,6685925f866906950f249389,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
esfph6tshn,52891.40000000596,1586354,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
esfph6tshn,27118.5,1639931,612e1143f0218f2e76cca659,0,668582e30cf76773d7ac09c4,6685925f866906950f249389,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
esfph6tshn,29521,1724900,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The candidate did not have skill A,,ans,c2
esfph6tshn,36554.40000000596,1815302,612e1143f0218f2e76cca659,1,668582e30cf76773d7ac09c4,6685925f866906950f249389,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
esfph6tshn,10793.20000000298,1858209,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The chef did not complete the dessert,,ans,c3
esfph6tshn,9578.10000000894,1939074,612e1143f0218f2e76cca659,1,668582e30cf76773d7ac09c4,6685925f866906950f249389,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
esfph6tshn,11982.40000000596,1980388,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The dessert did not impress the panel,,ans,c4
esfph6tshn,7467.100000008941,1995111,612e1143f0218f2e76cca659,0,668582e30cf76773d7ac09c4,6685925f866906950f249389,10%,50%,80%,50%,job,0,0,0,0,,,stim,c1
esfph6tshn,50243.79999999702,2068244,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The candidate did not have skill A,,ans,c1
esfph6tshn,5275.20000000298,2081592,612e1143f0218f2e76cca659,0,668582e30cf76773d7ac09c4,6685925f866906950f249389,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
esfph6tshn,20422.09999999404,2144339,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The chef did not complete the main dish,,ans,d1
esfph6tshn,12669.5,2171060,612e1143f0218f2e76cca659,0,668582e30cf76773d7ac09c4,6685925f866906950f249389,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
esfph6tshn,23301.79999999702,2231543,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
esfph6tshn,5033.399999991059,2243244,612e1143f0218f2e76cca659,1,668582e30cf76773d7ac09c4,6685925f866906950f249389,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
esfph6tshn,4742,2273269,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The dessert impressed the panel,,ans,d3
esfph6tshn,10555.20000000298,2290078,612e1143f0218f2e76cca659,1,668582e30cf76773d7ac09c4,6685925f866906950f249389,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
esfph6tshn,21699.89999999106,2331245,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The main dish impressed the panel,,ans,d5
esfph6tshn,8079.5,2357683,612e1143f0218f2e76cca659,1,668582e30cf76773d7ac09c4,6685925f866906950f249389,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
esfph6tshn,16113.800000011921,2401422,612e1143f0218f2e76cca659,,668582e30cf76773d7ac09c4,6685925f866906950f249389,,,,,,,,,,The main dish did not impress the panel,,ans,d4
