subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
f8uwkm0w6w,14812.89999999851,264947,5f3b39fe84d5ad84efe68d93,0,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
f8uwkm0w6w,22141.29999999702,307599,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The chef did not complete the main dish,,ans,c2
f8uwkm0w6w,7098.199999999255,323809,5f3b39fe84d5ad84efe68d93,0,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
f8uwkm0w6w,13071.300000000745,347435,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The candidate did not have skill B,,ans,c3
f8uwkm0w6w,13769,374065,5f3b39fe84d5ad84efe68d93,1,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
f8uwkm0w6w,20901.60000000149,408153,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The postdoc talked about the paper,,ans,d3
f8uwkm0w6w,3181.10000000149,419121,5f3b39fe84d5ad84efe68d93,1,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
f8uwkm0w6w,45777.699999999255,475308,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The candidate did not have skill A,,ans,c1
f8uwkm0w6w,3307.800000000745,481845,5f3b39fe84d5ad84efe68d93,1,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,50%,80%,50%,10%,job,1,0,1,1,,,stim,d5
f8uwkm0w6w,5681.699999999255,496492,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
f8uwkm0w6w,5848.199999999255,506493,5f3b39fe84d5ad84efe68d93,0,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,10%,70%,80%,50%,job,1,1,1,1,,,stim,d7
f8uwkm0w6w,16783.70000000298,528948,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
f8uwkm0w6w,1731.199999999255,537207,5f3b39fe84d5ad84efe68d93,0,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
f8uwkm0w6w,21024.099999997765,571801,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The dessert did not impress the panel,,ans,d2
f8uwkm0w6w,2202.900000002235,577663,5f3b39fe84d5ad84efe68d93,1,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
f8uwkm0w6w,27990.099999997765,611483,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
f8uwkm0w6w,2552.7999999970198,624792,5f3b39fe84d5ad84efe68d93,0,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,10%,70%,80%,50%,group,1,0,0,1,,,stim,d4
f8uwkm0w6w,9270.39999999851,645786,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
f8uwkm0w6w,2822.300000000745,652186,5f3b39fe84d5ad84efe68d93,1,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
f8uwkm0w6w,8697.20000000298,665395,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The candidate did not have skill B,,ans,d1
f8uwkm0w6w,4678.5,673383,5f3b39fe84d5ad84efe68d93,1,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
f8uwkm0w6w,18563,697560,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The chef completed the dessert,,ans,c5
f8uwkm0w6w,1370.9000000022352,702317,5f3b39fe84d5ad84efe68d93,1,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
f8uwkm0w6w,5174.29999999702,716179,5f3b39fe84d5ad84efe68d93,,668582e30cf76773d7ac09c4,6685911bc1ddf15f9b563d04,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
