subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fkwydcmuau,16358.09999999404,579511,6684190a6574b13d2b6ce699,0,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
fkwydcmuau,36361.79999999702,650436,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The lecturer talked about the paper,,ans,d7
fkwydcmuau,18097,677726,6684190a6574b13d2b6ce699,0,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
fkwydcmuau,19416.89999999851,707590,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The postdoc did not attend,,ans,d1
fkwydcmuau,8253.69999999553,723416,6684190a6574b13d2b6ce699,0,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
fkwydcmuau,12883,746228,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The postdoc talked about the paper,,ans,d2
fkwydcmuau,4861.10000000149,757006,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
fkwydcmuau,8905.40000000596,780036,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The lecturer did not attend,,ans,d6
fkwydcmuau,12767.39999999851,825692,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
fkwydcmuau,6499.89999999851,850861,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The chef did not complete the main dish,,ans,c2
fkwydcmuau,10192.10000000149,867722,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
fkwydcmuau,35025.60000000149,913781,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c1
fkwydcmuau,7534.80000000447,925595,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
fkwydcmuau,4477.5,941840,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The dessert did not impress the panel,,ans,c4
fkwydcmuau,3206.39999999851,948858,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
fkwydcmuau,5981.30000000447,963114,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d4
fkwydcmuau,5496.70000000298,972271,6684190a6574b13d2b6ce699,0,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
fkwydcmuau,5630.10000000149,987162,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The chef completed the main dish,,ans,c5
fkwydcmuau,3791.8000000044703,994548,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
fkwydcmuau,4209.79999999702,1011093,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
fkwydcmuau,5847.5,1023994,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
fkwydcmuau,12771,1048499,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The lecturer talked about the paper,,ans,d5
fkwydcmuau,8353.89999999851,1060827,6684190a6574b13d2b6ce699,1,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
fkwydcmuau,10225.89999999851,1080597,6684190a6574b13d2b6ce699,,668582e30cf76773d7ac09c4,6685982e7b5ddfae4d68a81f,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
