subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
g0o439g4sj,29533,278931,667dcca44a1f66569faf712a,0,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
g0o439g4sj,80079,385147,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c3
g0o439g4sj,20670,418963,667dcca44a1f66569faf712a,1,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
g0o439g4sj,101929,534107,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
g0o439g4sj,11375,555483,667dcca44a1f66569faf712a,0,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
g0o439g4sj,15392,582299,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The postdoc did not attend,,ans,d4
g0o439g4sj,11757,601795,667dcca44a1f66569faf712a,1,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,50%,80%,50%,10%,job,1,0,1,1,,,stim,d5
g0o439g4sj,69831,689914,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The candidate did not have skill B,,ans,d5
g0o439g4sj,7871,705659,667dcca44a1f66569faf712a,0,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
g0o439g4sj,40655,760715,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The lecturer talked about the paper,,ans,c5
g0o439g4sj,9358,776091,667dcca44a1f66569faf712a,1,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
g0o439g4sj,66161,854267,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
g0o439g4sj,10713,871370,667dcca44a1f66569faf712a,0,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
g0o439g4sj,24545,908940,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The lecturer did not attend,,ans,d1
g0o439g4sj,7231,921443,667dcca44a1f66569faf712a,1,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
g0o439g4sj,26183,960691,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
g0o439g4sj,7551,973354,667dcca44a1f66569faf712a,0,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
g0o439g4sj,4567,992179,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
g0o439g4sj,11767,1016753,667dcca44a1f66569faf712a,1,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
g0o439g4sj,24655,1054234,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The chef did not complete the main dish,,ans,c1
g0o439g4sj,8789,1067410,667dcca44a1f66569faf712a,1,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
g0o439g4sj,14209,1091682,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The chef did not complete the main dish,,ans,c2
g0o439g4sj,8543,1104873,667dcca44a1f66569faf712a,0,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
g0o439g4sj,6055,1130761,667dcca44a1f66569faf712a,,668582e30cf76773d7ac09c4,6685910a627574c08c631c80,,,,,,,,,,The dessert impressed the panel,,ans,d3
