subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
gv1o0kzjn4,24271.700000047684,319156,6346a413919549f694fa4a77,1,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
gv1o0kzjn4,40687.19999998808,377340,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The candidate did not have skill B,,ans,d4
gv1o0kzjn4,10783.400000035763,400068,6346a413919549f694fa4a77,1,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
gv1o0kzjn4,23438.899999976158,439228,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
gv1o0kzjn4,14006.900000035763,461332,6346a413919549f694fa4a77,1,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
gv1o0kzjn4,15519.400000035763,493556,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d1
gv1o0kzjn4,6783.199999988079,505956,6346a413919549f694fa4a77,0,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
gv1o0kzjn4,19367.5,535548,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The candidate had skill A,,ans,c5
gv1o0kzjn4,9279.199999988079,553988,6346a413919549f694fa4a77,1,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
gv1o0kzjn4,7711.300000011921,569540,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The postdoc did not attend,,ans,c3
gv1o0kzjn4,11847.100000023842,585659,6346a413919549f694fa4a77,1,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
gv1o0kzjn4,6647.199999988079,600780,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The dessert impressed the panel,,ans,d3
gv1o0kzjn4,7367.400000035763,613947,6346a413919549f694fa4a77,0,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
gv1o0kzjn4,3719,629675,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The lecturer did not attend,,ans,d2
gv1o0kzjn4,1543.5,633900,6346a413919549f694fa4a77,1,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
gv1o0kzjn4,18175.30000001192,660627,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The lecturer talked about the paper,,ans,d7
gv1o0kzjn4,1039.2999999523163,664131,6346a413919549f694fa4a77,0,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
gv1o0kzjn4,8591.5,677316,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The lecturer did not attend,,ans,c1
gv1o0kzjn4,1046.8999999761581,681595,6346a413919549f694fa4a77,0,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
gv1o0kzjn4,4375,710563,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The dessert did not impress the panel,,ans,c4
gv1o0kzjn4,895.5,714107,6346a413919549f694fa4a77,0,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
gv1o0kzjn4,3711.199999988079,728219,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The lecturer talked about the paper,,ans,d5
gv1o0kzjn4,1647.3999999761581,732555,6346a413919549f694fa4a77,0,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
gv1o0kzjn4,3663.399999976158,745979,6346a413919549f694fa4a77,,668582e30cf76773d7ac09c4,668591ad2f874b7b682720f6,,,,,,,,,,The dessert did not impress the panel,,ans,c2
