subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
h3w4x8qga8,44809.299999952316,1111101,6448f68c3ba5a3f969d1e90d,1,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
h3w4x8qga8,40888.699999809265,1189760,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
h3w4x8qga8,29498.099999904633,1234698,6448f68c3ba5a3f969d1e90d,0,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
h3w4x8qga8,40086.09999990463,1299578,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The lecturer talked about the paper,,ans,c5
h3w4x8qga8,17392.099999904633,1334685,6448f68c3ba5a3f969d1e90d,1,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
h3w4x8qga8,25180.5,1400658,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
h3w4x8qga8,35852.299999952316,1457639,6448f68c3ba5a3f969d1e90d,1,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
h3w4x8qga8,49694.5,1543315,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
h3w4x8qga8,26430.300000190735,1581460,6448f68c3ba5a3f969d1e90d,1,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
h3w4x8qga8,50160.199999809265,1662285,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
h3w4x8qga8,39427.799999952316,1724934,6448f68c3ba5a3f969d1e90d,0,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,10%,70%,80%,50%,cook,0,1,0,1,,,stim,d2
h3w4x8qga8,17514.700000047684,1765525,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The dessert did not impress the panel,,ans,d2
h3w4x8qga8,24466,1799544,6448f68c3ba5a3f969d1e90d,0,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
h3w4x8qga8,57385.90000009537,1873870,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The candidate did not have skill B,,ans,c1
h3w4x8qga8,17018.5,1903465,6448f68c3ba5a3f969d1e90d,0,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
h3w4x8qga8,23276.599999904633,1945465,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The postdoc did not attend,,ans,d1
h3w4x8qga8,20010.299999952316,1984151,6448f68c3ba5a3f969d1e90d,1,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
h3w4x8qga8,24576.700000047684,2029658,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The main dish impressed the panel,,ans,d5
h3w4x8qga8,15446.5,2053907,6448f68c3ba5a3f969d1e90d,0,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
h3w4x8qga8,16166.700000047684,2087993,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
h3w4x8qga8,23853.900000095367,2118629,6448f68c3ba5a3f969d1e90d,1,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
h3w4x8qga8,42324.299999952316,2179340,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The chef did not complete the main dish,,ans,c2
h3w4x8qga8,17028.5,2200939,6448f68c3ba5a3f969d1e90d,0,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
h3w4x8qga8,35994.40000009537,2250547,6448f68c3ba5a3f969d1e90d,,668582e30cf76773d7ac09c4,66859450f7f1d085a469e4b0,,,,,,,,,,The lecturer talked about the paper,,ans,d7
