subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
h76x48pb2b,8237.900000035763,215757,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
h76x48pb2b,30457.399999976158,256281,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The postdoc did not attend,,ans,d1
h76x48pb2b,5190.199999988079,291275,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
h76x48pb2b,17400.69999998808,314974,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The postdoc attended,,ans,d7
h76x48pb2b,33201.30000001192,361500,6132577d43d2c679da62f402,1,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
h76x48pb2b,6847.199999988079,378766,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The chef did not complete the main dish,,ans,d2
h76x48pb2b,1283.300000011921,385672,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
h76x48pb2b,23370.899999976158,412550,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The chef completed the dessert,,ans,c5
h76x48pb2b,12341.600000023842,430072,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
h76x48pb2b,22627,456871,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
h76x48pb2b,1397.2000000476837,461421,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
h76x48pb2b,13212.100000023842,480835,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The candidate did not have skill B,,ans,c4
h76x48pb2b,1613.2999999523163,487249,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
h76x48pb2b,14729.699999988079,506548,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The postdoc did not attend,,ans,c1
h76x48pb2b,1647.7999999523163,511363,6132577d43d2c679da62f402,1,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
h76x48pb2b,12942.699999988079,533611,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The chef did not complete the dessert,,ans,c3
h76x48pb2b,895.5999999642372,540700,6132577d43d2c679da62f402,1,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
h76x48pb2b,6274.600000023842,553187,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
h76x48pb2b,1014.5999999642372,556267,6132577d43d2c679da62f402,1,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
h76x48pb2b,4813.5,564861,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The main dish impressed the panel,,ans,d5
h76x48pb2b,2014.9000000357628,568675,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
h76x48pb2b,3481.800000011921,576909,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The candidate did not have skill B,,ans,d4
h76x48pb2b,15789.200000047684,605145,6132577d43d2c679da62f402,0,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
h76x48pb2b,3663.800000011921,612356,6132577d43d2c679da62f402,,668582e30cf76773d7ac09c4,668592667893c9dffdc22e3c,,,,,,,,,,The chef completed the main dish,,ans,c2
