subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
hq0w3rwfl4,137764.59999990463,703506,5d31dc6e42678e001a0bdedd,1,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
hq0w3rwfl4,65913.79999995232,804494,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
hq0w3rwfl4,25484.199999809265,837841,5d31dc6e42678e001a0bdedd,1,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
hq0w3rwfl4,13924.900000095367,881995,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The candidate had skill A,,ans,c3
hq0w3rwfl4,14790.299999952316,901851,5d31dc6e42678e001a0bdedd,1,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
hq0w3rwfl4,41291.09999990463,962237,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The candidate did not have skill B,,ans,d4
hq0w3rwfl4,15992.899999856949,1006367,5d31dc6e42678e001a0bdedd,0,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
hq0w3rwfl4,27453.400000095367,1055753,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
hq0w3rwfl4,9318.799999952316,1073910,5d31dc6e42678e001a0bdedd,1,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,80%,50%,10%,70%,group,1,1,1,1,,,stim,d7
hq0w3rwfl4,20958.900000095367,1113652,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The postdoc talked about the paper,,ans,d7
hq0w3rwfl4,12266,1145412,5d31dc6e42678e001a0bdedd,0,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
hq0w3rwfl4,39256.700000047684,1196636,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The lecturer attended,,ans,d1
hq0w3rwfl4,23767.5,1234613,5d31dc6e42678e001a0bdedd,1,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
hq0w3rwfl4,20923.299999952316,1277382,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The chef did not complete the main dish,,ans,c2
hq0w3rwfl4,51212,1335086,5d31dc6e42678e001a0bdedd,0,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
hq0w3rwfl4,27410.199999809265,1376975,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The candidate did not have skill B,,ans,d6
hq0w3rwfl4,3563.2000000476837,1386076,5d31dc6e42678e001a0bdedd,0,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
hq0w3rwfl4,21868.299999952316,1414714,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The postdoc attended,,ans,c1
hq0w3rwfl4,2194.2999999523163,1421165,5d31dc6e42678e001a0bdedd,0,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
hq0w3rwfl4,13954.700000047684,1449665,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The lecturer talked about the paper,,ans,d2
hq0w3rwfl4,2887.2000000476837,1457042,5d31dc6e42678e001a0bdedd,1,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
hq0w3rwfl4,29189.799999952316,1494989,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The postdoc did not attend,,ans,d5
hq0w3rwfl4,1872.2999999523163,1501713,5d31dc6e42678e001a0bdedd,1,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
hq0w3rwfl4,11026.599999904633,1522728,5d31dc6e42678e001a0bdedd,,668582e30cf76773d7ac09c4,668592e94eb5e20d847b7a69,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
