subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
hw7x0umwqc,11430.29999999702,90455,5edbd365d53ee707632a8ac9,0,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
hw7x0umwqc,27354.5,125583,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
hw7x0umwqc,7541.9000000059605,139722,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
hw7x0umwqc,7526.5999999940395,154077,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The postdoc talked about the paper,,ans,d7
hw7x0umwqc,1249.5,160164,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
hw7x0umwqc,5925.79999999702,173690,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The postdoc talked about the paper,,ans,c5
hw7x0umwqc,1917.8999999910593,178653,5edbd365d53ee707632a8ac9,0,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
hw7x0umwqc,24712.40000000596,205254,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
hw7x0umwqc,1672.7999999970198,218503,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
hw7x0umwqc,8940.40000000596,229609,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
hw7x0umwqc,2182.2000000178814,238298,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
hw7x0umwqc,8147.0999999940395,250354,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The chef did not complete the dessert,,ans,d1
hw7x0umwqc,1331.5,254631,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
hw7x0umwqc,12029.5,268432,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The dessert did not impress the panel,,ans,c2
hw7x0umwqc,785.2999999821186,271419,5edbd365d53ee707632a8ac9,0,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
hw7x0umwqc,8177.5,281117,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The lecturer did not attend,,ans,d2
hw7x0umwqc,727.7000000178814,284143,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
hw7x0umwqc,8480.699999988079,294265,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The main dish did not impress the panel,,ans,d6
hw7x0umwqc,927.7000000178814,298953,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
hw7x0umwqc,10177.800000011921,310465,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
hw7x0umwqc,831.6999999880791,313996,5edbd365d53ee707632a8ac9,0,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
hw7x0umwqc,8067.800000011921,323258,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
hw7x0umwqc,702,326974,5edbd365d53ee707632a8ac9,1,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
hw7x0umwqc,8081.699999988079,336541,5edbd365d53ee707632a8ac9,,668582e30cf76773d7ac09c4,66858fd959e276dc400bd237,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c1
