subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
hxzx57dzgt,48548,307554,644805884189b40893adfa53,0,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
hxzx57dzgt,50613.5,409320,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
hxzx57dzgt,19579.900000095367,458919,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
hxzx57dzgt,42763.90000009537,532434,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The chef did not complete the main dish,,ans,c2
hxzx57dzgt,10983.200000047684,554919,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,50%,80%,50%,10%,job,0,1,0,1,,,stim,d2
hxzx57dzgt,31497.099999904633,623417,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
hxzx57dzgt,14946.899999856949,652100,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
hxzx57dzgt,39250,710685,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The chef did not complete the main dish,,ans,d1
hxzx57dzgt,14381.100000143051,741833,644805884189b40893adfa53,0,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
hxzx57dzgt,16782.099999904633,774932,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The postdoc talked about the paper,,ans,d7
hxzx57dzgt,9498.899999856949,796366,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
hxzx57dzgt,14830.299999952316,824915,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
hxzx57dzgt,11265.900000095367,848899,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
hxzx57dzgt,15482.400000095367,876949,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The main dish did not impress the panel,,ans,c3
hxzx57dzgt,8848.400000095367,895980,644805884189b40893adfa53,0,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
hxzx57dzgt,13000.400000095367,920650,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The dessert did not impress the panel,,ans,d6
hxzx57dzgt,14798.299999952316,947214,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
hxzx57dzgt,10633.400000095367,966333,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The chef did not complete the main dish,,ans,c1
hxzx57dzgt,7997.5,984596,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
hxzx57dzgt,9900,1005982,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The main dish did not impress the panel,,ans,d4
hxzx57dzgt,7965.299999952316,1023430,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
hxzx57dzgt,15565.799999952316,1050714,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The lecturer talked about the paper,,ans,c5
hxzx57dzgt,13946.899999856949,1074346,644805884189b40893adfa53,1,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
hxzx57dzgt,7748,1091679,644805884189b40893adfa53,,668582e30cf76773d7ac09c4,668592025205bc762b7f1411,,,,,,,,,,The main dish impressed the panel,,ans,d5
