subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
j08le7mv2j,31140.900000095367,314184,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
j08le7mv2j,56151.299999952316,403595,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
j08le7mv2j,18187.5,465762,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
j08le7mv2j,28053.599999904633,511518,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The chef did not complete the dessert,,ans,c3
j08le7mv2j,2118.600000023842,519451,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
j08le7mv2j,41204.300000071526,570146,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
j08le7mv2j,1646.8999999761581,575638,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,50%,group,1,1,1,0,,,stim,c5
j08le7mv2j,30452.600000023842,610998,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The postdoc talked about the paper,,ans,c5
j08le7mv2j,1506,615933,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
j08le7mv2j,29869.899999976158,649328,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The postdoc did not talk about the paper,,ans,d1
j08le7mv2j,1346.7999999523163,653704,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
j08le7mv2j,32294.699999928474,692740,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The candidate did not have skill B,,ans,d4
j08le7mv2j,6237.100000023842,703010,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
j08le7mv2j,58912.90000009537,770350,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
j08le7mv2j,1419.3999999761581,776712,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
j08le7mv2j,27127.699999928474,806855,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The candidate did not have skill A,,ans,c1
j08le7mv2j,1474.9000000953674,812167,634c48cd5280c359cf6f5721,0,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
j08le7mv2j,32382.700000047684,848097,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The lecturer talked about the paper,,ans,d7
j08le7mv2j,1236.7000000476837,852828,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
j08le7mv2j,27071.099999904633,883611,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The lecturer talked about the paper,,ans,d5
j08le7mv2j,1771.3999999761581,889808,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
j08le7mv2j,15694.399999976158,909309,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The dessert impressed the panel,,ans,d3
j08le7mv2j,1404.5,914268,634c48cd5280c359cf6f5721,1,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
j08le7mv2j,23001.600000023842,943335,634c48cd5280c359cf6f5721,,668582e30cf76773d7ac09c4,668591ee1230841aa1ee33f4,,,,,,,,,,The chef did not complete the main dish,,ans,c2
