subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
j0q1uxpg7r,41014,538342,5f32bb8f930a0e03028d5d80,0,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
j0q1uxpg7r,67948,634778,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The postdoc did not attend,,ans,c1
j0q1uxpg7r,14146,661716,5f32bb8f930a0e03028d5d80,1,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
j0q1uxpg7r,46722,723220,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The lecturer talked about the paper,,ans,d7
j0q1uxpg7r,31621,790281,5f32bb8f930a0e03028d5d80,1,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
j0q1uxpg7r,57277,882195,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The dessert did not impress the panel,,ans,d2
j0q1uxpg7r,5419,896676,5f32bb8f930a0e03028d5d80,0,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
j0q1uxpg7r,15662,934559,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The main dish impressed the panel,,ans,d5
j0q1uxpg7r,28601,979307,5f32bb8f930a0e03028d5d80,0,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
j0q1uxpg7r,34901,1035663,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The candidate did not have skill B,,ans,d1
j0q1uxpg7r,38697,1084986,5f32bb8f930a0e03028d5d80,1,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
j0q1uxpg7r,19378,1119630,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The chef did not complete the dessert,,ans,c3
j0q1uxpg7r,15381,1143873,5f32bb8f930a0e03028d5d80,0,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
j0q1uxpg7r,159200,1329231,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
j0q1uxpg7r,8516,1342559,5f32bb8f930a0e03028d5d80,0,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
j0q1uxpg7r,9008,1365071,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
j0q1uxpg7r,17092,1387627,5f32bb8f930a0e03028d5d80,1,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
j0q1uxpg7r,42877,1443309,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
j0q1uxpg7r,22110,1469987,5f32bb8f930a0e03028d5d80,0,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
j0q1uxpg7r,8109,1492718,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
j0q1uxpg7r,15087,1517005,5f32bb8f930a0e03028d5d80,0,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
j0q1uxpg7r,13348,1541039,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The lecturer did not attend,,ans,c2
j0q1uxpg7r,14898,1562252,5f32bb8f930a0e03028d5d80,1,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
j0q1uxpg7r,16961,1593219,5f32bb8f930a0e03028d5d80,,668582e30cf76773d7ac09c4,66858b35a8a5d7997af65db7,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
