subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
jp751z6vgq,15262.100000023842,219708,664dcd50e61b5246d5b7377b,0,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
jp751z6vgq,18150.399999976158,255622,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The dessert impressed the panel,,ans,d3
jp751z6vgq,15331.599999904633,298986,664dcd50e61b5246d5b7377b,1,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
jp751z6vgq,40511.799999952316,353315,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d1
jp751z6vgq,11163.600000023842,380715,664dcd50e61b5246d5b7377b,1,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
jp751z6vgq,41713.300000071526,434760,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
jp751z6vgq,7233,450826,664dcd50e61b5246d5b7377b,0,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
jp751z6vgq,12080.899999976158,472340,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c3
jp751z6vgq,12962.700000047684,492623,664dcd50e61b5246d5b7377b,1,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
jp751z6vgq,11781.899999976158,514305,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
jp751z6vgq,15598.299999952316,544988,664dcd50e61b5246d5b7377b,1,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
jp751z6vgq,10417.400000095367,564120,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The lecturer talked about the paper,,ans,d5
jp751z6vgq,403416.39999997616,973615,664dcd50e61b5246d5b7377b,0,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
jp751z6vgq,8706.5,988183,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
jp751z6vgq,397449.2000000477,1394993,664dcd50e61b5246d5b7377b,1,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
jp751z6vgq,9030.5,1411925,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The chef did not complete the dessert,,ans,c1
jp751z6vgq,5375.799999952316,1422139,664dcd50e61b5246d5b7377b,0,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
jp751z6vgq,4119.200000047684,1432277,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The dessert did not impress the panel,,ans,d6
jp751z6vgq,14935.799999952316,1452883,664dcd50e61b5246d5b7377b,1,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
jp751z6vgq,15221.5,1476105,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
jp751z6vgq,4251.399999976158,1483258,664dcd50e61b5246d5b7377b,0,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
jp751z6vgq,4003.7000000476837,1493215,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
jp751z6vgq,10663.5,1507950,664dcd50e61b5246d5b7377b,0,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
jp751z6vgq,7020.699999928474,1518437,664dcd50e61b5246d5b7377b,,668582e30cf76773d7ac09c4,668590f9caa586f36a272135,,,,,,,,,,The main dish impressed the panel,,ans,d7
