subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
jqja0r8ssw,34900.300000000745,485897,6658b72b045fe9975678ae46,1,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
jqja0r8ssw,77389.5,670393,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The lecturer did not attend,,ans,d1
jqja0r8ssw,35745.89999999851,723464,6658b72b045fe9975678ae46,0,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
jqja0r8ssw,41284.29999999702,783619,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
jqja0r8ssw,17011,828334,6658b72b045fe9975678ae46,0,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
jqja0r8ssw,34061.300000000745,875998,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
jqja0r8ssw,13840.900000002235,898866,6658b72b045fe9975678ae46,0,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
jqja0r8ssw,20204.699999999255,939927,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
jqja0r8ssw,22430.60000000149,971695,6658b72b045fe9975678ae46,1,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
jqja0r8ssw,13747.300000000745,997880,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
jqja0r8ssw,16301,1049878,6658b72b045fe9975678ae46,1,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
jqja0r8ssw,25361.10000000149,1088189,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The chef did not complete the main dish,,ans,c1
jqja0r8ssw,14052.199999999255,1108678,6658b72b045fe9975678ae46,1,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
jqja0r8ssw,21890.300000000745,1140889,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
jqja0r8ssw,13176.199999999255,1167827,6658b72b045fe9975678ae46,0,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
jqja0r8ssw,16610.10000000149,1197640,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The dessert did not impress the panel,,ans,d2
jqja0r8ssw,13719.20000000298,1220119,6658b72b045fe9975678ae46,1,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
jqja0r8ssw,12476.400000002235,1241994,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The lecturer talked about the paper,,ans,d5
jqja0r8ssw,9643,1266683,6658b72b045fe9975678ae46,0,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
jqja0r8ssw,19183.300000000745,1293384,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The lecturer did not attend,,ans,c2
jqja0r8ssw,19386,1323063,6658b72b045fe9975678ae46,0,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
jqja0r8ssw,8562.400000002235,1339685,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The chef did not complete the dessert,,ans,c3
jqja0r8ssw,14158.10000000149,1361150,6658b72b045fe9975678ae46,0,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
jqja0r8ssw,13302.10000000149,1389625,6658b72b045fe9975678ae46,,668582e30cf76773d7ac09c4,6685931e70a80b6f72eea7ba,,,,,,,,,,The main dish impressed the panel,,ans,d7
