subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
jvxhw3813w,48090.30000000447,358471,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
jvxhw3813w,83606.79999999702,499107,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
jvxhw3813w,21681.40000000596,553674,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
jvxhw3813w,30942.5,616950,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The lecturer talked about the paper,,ans,c3
jvxhw3813w,12156.79999999702,658713,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
jvxhw3813w,35210.59999999404,697698,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The main dish impressed the panel,,ans,d5
jvxhw3813w,20344.89999999851,751545,65bcf60a53421206e0dac865,0,668582e30cf76773d7ac09c4,668590664c258370041e4492,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
jvxhw3813w,13889.70000000298,782743,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The dessert did not impress the panel,,ans,d2
jvxhw3813w,1285.3000000044703,827716,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
jvxhw3813w,40182.39999999851,874349,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The main dish impressed the panel,,ans,d7
jvxhw3813w,1798,899100,65bcf60a53421206e0dac865,0,668582e30cf76773d7ac09c4,668590664c258370041e4492,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
jvxhw3813w,22406.5,924244,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
jvxhw3813w,2087.2999999970198,943324,65bcf60a53421206e0dac865,0,668582e30cf76773d7ac09c4,668590664c258370041e4492,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
jvxhw3813w,18160.69999999553,964035,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The lecturer did not talk about the paper,,ans,c1
jvxhw3813w,1214.2999999970198,990163,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
jvxhw3813w,9502.89999999851,1001780,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The postdoc talked about the paper,,ans,d6
jvxhw3813w,2909.2000000029802,1020907,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
jvxhw3813w,19110.29999999702,1042396,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The main dish impressed the panel,,ans,d4
jvxhw3813w,2169.60000000149,1089610,65bcf60a53421206e0dac865,0,668582e30cf76773d7ac09c4,668590664c258370041e4492,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
jvxhw3813w,20550.40000000596,1112331,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The chef did not complete the main dish,,ans,d1
jvxhw3813w,2121.2000000029802,1125370,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
jvxhw3813w,5894.4000000059605,1133699,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The dessert impressed the panel,,ans,c5
jvxhw3813w,1265.2999999970198,1144218,65bcf60a53421206e0dac865,1,668582e30cf76773d7ac09c4,668590664c258370041e4492,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
jvxhw3813w,9014.10000000149,1156731,65bcf60a53421206e0dac865,,668582e30cf76773d7ac09c4,668590664c258370041e4492,,,,,,,,,,The main dish impressed the panel,,ans,c4
