subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
kay5gmo2wa,11480,294259,668177e0951600598b5422df,0,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
kay5gmo2wa,73502.00000000006,386079,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The postdoc did not talk about the paper,,ans,c1
kay5gmo2wa,15980.999999999942,431191,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
kay5gmo2wa,24552,468061,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The lecturer did not talk about the paper,,ans,d1
kay5gmo2wa,14548,494407,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
kay5gmo2wa,14151,521643,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
kay5gmo2wa,31848,561689,668177e0951600598b5422df,0,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
kay5gmo2wa,14785,579777,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
kay5gmo2wa,10998,605039,668177e0951600598b5422df,0,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
kay5gmo2wa,30335,640108,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The dessert did not impress the panel,,ans,c2
kay5gmo2wa,2264,665071,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
kay5gmo2wa,26219,695058,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
kay5gmo2wa,7365,709204,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
kay5gmo2wa,13787,725792,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
kay5gmo2wa,3632,736737,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
kay5gmo2wa,26085,766990,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
kay5gmo2wa,11715.999999999884,788303,668177e0951600598b5422df,0,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
kay5gmo2wa,9169,802373,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
kay5gmo2wa,1199.0000000001164,808836,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
kay5gmo2wa,8485,820323,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
kay5gmo2wa,1798,826352,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
kay5gmo2wa,24900,853820,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The main dish did not impress the panel,,ans,c4
kay5gmo2wa,1665.0000000001164,858585,668177e0951600598b5422df,1,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
kay5gmo2wa,28902,892956,668177e0951600598b5422df,,668582e30cf76773d7ac09c4,6685902b7123975c07f83ef5,,,,,,,,,,The main dish impressed the panel,,ans,d7
